Business and Finance,Revenue Growth,$
Year,Ironclad Ventures,Starlight Innovations,Aegis Corp,NovaTech Solutions,Vanguard Dynamics
trend,exponential_falling,exponential_rising,volatile_rising,exponential_falling,exponential_falling
1987,9859239.77,11309446.69,12066245.81,10093167.64,12257025.13
1988,9220918.23,10647347.62,13599081.27,10644429.95,11601790.18
1989,6764774.52,10765667.9,11718503.08,7856160.35,9028206.15
1990,6942212.11,14664520.38,12959173.38,7461818.03,7888214.54
1991,6456962.68,16643824.51,16595853.68,7050716.02,6898440.07
1992,6455477.52,17297259.67,16157246.13,5751617.21,7797369.43
1993,4127110.3,18163438.87,16581873.17,4308361.72,3133693.1
1994,4373393.91,18414263.42,14467687.56,5419838.48,5614279.67
1995,3082273.58,22642730.68,17176764.72,5365082.36,4034695.54
1996,4058200.03,23843177.86,18079412.51,3672911.77,2670426.19
1997,3749747.74,25394998.75,14701525.17,2208394.59,5205381.23
1998,4685507.16,27348896.83,17350937.49,3028100.62,553514.1
1999,3130624.32,32018069.77,20379504.91,3146043.01,2700165.83
2000,2467793.9,35458723.27,19198106.66,4123074.37,2506673.11
2001,2454037.59,37326309.66,23723219.06,3463454.84,850404.01
2002,2070538.75,42882306.32,21268257.79,1713942.31,1827994.95
2003,2557088.99,45953808.86,25936053.04,2390536.1,2271450.57
2004,1784469.59,49956597.31,24058372.89,1534195.79,2709162.17
2005,100000.0,55289444.06,27668373.46,323362.33,2158558.43
2006,1842510.38,60657351.27,27534086.1,212662.87,618055.79
2007,3041962.38,68171261.67,27568355.14,3071600.25,2086940.46
