Business and Finance,Market Share,%
Year,Vanguard Dynamics,Aegis Corp,Apex Systems
trend,volatile_falling,exponential_falling,exponential_falling
1991,15.96,20.53,19.25
1992,18.92,20.8,19.75
1993,16.99,16.47,18.84
1994,14.7,14.78,13.42
1995,19.37,12.52,12.48
1996,18.03,11.19,11.43
1997,11.5,11.7,9.92
1998,13.96,10.79,10.31
1999,7.0,9.12,9.31
2000,4.01,8.78,10.53
2001,9.46,6.84,4.54
2002,8.1,10.0,6.64
2003,6.16,6.02,5.6
2004,5.17,4.65,4.28
2005,1.16,3.88,7.8
2006,2.87,3.45,5.4
2007,0.2,4.07,4.01
2008,0.4,2.59,0.67
2009,0.2,1.46,0.74
2010,0.2,2.88,1.82
2011,0.2,3.61,0.3
2012,0.2,1.15,3.54
2013,0.2,3.62,1.26
2014,0.2,1.44,1.67
2015,0.2,0.96,1.89
