Cultural Trends and Influences,Museum Visitors,visits/month
trend,volatile_rising,exponential_rising,exponential_falling,stable_rising
Year,Silverhaven Maritime Museum,The Chronos Museum,Museum of Stellar Artifice,Aethelgard Historical Archive
1950,805254.29,988799.13,929628.58,1077771.35
1951,1348123.16,945717.96,1094073.22,965581.04
1952,1130733.63,1287933.19,826037.72,1179636.64
1953,1310062.53,1331770.46,725864.12,1079088.46
1954,1329154.55,1496778.81,745126.83,1209852.58
1955,1539575.13,1655547.73,623866.84,1107787.21
1956,1416996.75,1882597.84,543727.52,1225492.21
1957,1374038.63,1997335.56,484547.54,1499952.1
1958,1558559.39,2109449.74,650834.77,1413024.74
1959,1755511.93,2276470.59,431152.42,1398992.7
1960,1450381.05,2490437.49,404103.39,1428200.66
1961,1833853.07,2717690.09,168483.93,1465653.41
1962,2085346.14,3174300.59,196995.17,1581193.47
1963,2234303.42,3495292.32,350799.59,1784413.1
1964,2116100.45,3945269.95,194318.6,1720823.99
1965,2148204.21,4148918.04,194619.4,1866572.43
1966,2363540.43,4494080.34,222631.54,1632150.3
1967,2164390.17,5092740.57,203724.89,1784692.66
1968,2269726.05,5326404.33,152051.98,1738550.02
1969,2491879.08,6047556.6,11485.15,1837891.04
1970,2840708.53,6650818.38,149646.05,2120022.11
1971,2647534.63,7231209.6,154819.6,2012209.74
1972,2957519.79,8008000.19,167932.02,1994937.71
1973,2732060.33,8883160.86,136792.17,2132179.44
1974,3169046.72,9814364.18,97891.06,2199536.75
1975,2984205.8,10884433.95,122827.64,2303967.1
1976,2862255.86,11970577.63,133211.76,2301543.3
