Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,exponential_falling,stable_rising,exponential_rising,exponential_falling,volatile_rising,volatile_falling
Year,Aura Fine Arts,Stellar Exhibit Hall,Ironwood Gallery,Whispering Canvas,The Gilded Frame,Zenith Sculpture Garden
1967,247444.82,283548.17,321041.81,302560.49,310991.36,249381.25
1968,286183.67,359738.44,399454.36,254782.75,301981.23,280057.09
1969,254891.08,282499.56,403839.55,224870.0,373787.84,226905.11
1970,252368.34,291106.02,365549.23,204231.82,342603.76,194425.26
1971,164984.15,359728.98,487968.22,219529.63,362830.43,182071.55
1972,141435.57,379246.55,476605.11,125055.35,471907.82,222099.45
1973,192920.37,401227.35,565235.59,133522.95,470951.64,194436.23
1974,159469.56,383267.67,555205.11,61785.31,464663.46,215040.87
1975,122273.86,420608.93,652392.65,82164.85,492488.04,125809.26
1976,108017.87,423279.92,757076.35,108271.26,372037.96,91792.11
1977,106323.69,484254.94,812169.18,79477.46,488254.18,146317.01
1978,106617.16,466800.38,844834.93,79528.99,559614.29,83638.15
1979,81295.45,502774.99,877680.8,63929.28,598245.09,76774.28
