Education and Academics,Student Enrollment,students
Year,Borealis Graduate School,Zenith Institute of Technology,Celestial College,Silverhaven Polytechnic
trend,exponential_rising,volatile_rising,exponential_rising,stable_falling
1991,9983.31,9307.45,10595.55,8990.77
1992,10472.47,9858.82,11644.71,10651.05
1993,12077.24,11319.43,11783.98,10601.78
1994,12978.61,12737.6,13018.75,10698.72
1995,14557.45,14532.85,14839.37,11473.64
1996,16533.35,13400.69,16288.06,11926.59
1997,17845.86,14293.12,16618.73,11761.41
1998,19687.14,14425.04,19219.13,12275.5
1999,21825.7,17108.73,21812.16,12129.01
2000,24589.04,18436.25,23065.23,12485.55
2001,25868.81,17871.84,24737.5,12974.88
2002,29127.67,17750.39,27821.85,12873.51
2003,31809.29,19669.34,30668.12,13436.07
2004,34382.87,19665.59,34793.53,13547.24
2005,37946.66,21461.0,38083.75,14263.77
2006,42052.54,21933.77,42126.61,14760.3
2007,45882.02,22964.88,45097.56,14559.2
2008,51032.42,22762.66,50185.95,14278.16
2009,55368.3,24212.3,54392.16,14514.42
2010,61599.24,24527.9,59897.43,15738.84
2011,66754.68,26892.49,66182.82,16595.13
2012,74798.23,27311.04,74049.2,16185.35
