Education and Academics,Research Funding,$
Year,Aethelgard School of Arts,Borealis Graduate School,Meridian Academy,Silverhaven Polytechnic,Celestial College,Arcane University
trend,periodic_stable,exponential_falling,volatile_rising,exponential_rising,volatile_falling,stable_rising
1953,521448.45,486748.35,578285.23,478301.22,667428.24,533483.12
1954,635088.23,351675.08,558950.58,542533.73,436572.83,470831.86
1955,596057.65,411467.25,775137.47,700008.94,385454.39,437550.33
1956,382604.6,370242.2,537844.41,672734.96,329520.68,503910.87
1957,370276.16,397077.02,810948.06,631339.65,372505.11,636533.17
1958,485303.55,148733.69,824612.26,723172.85,589909.57,636761.84
1959,574590.62,217970.84,798119.46,912215.7,191136.81,680371.7
1960,601932.32,215927.29,857333.99,953804.06,306978.0,538358.14
1961,384968.92,282224.53,914559.89,980089.91,306567.61,714905.45
1962,397783.95,155557.05,790251.04,1239153.11,285470.83,689712.42
1963,518283.25,183419.09,616917.53,1272503.18,168006.9,790560.7
1964,631725.7,192859.35,838865.5,1451782.2,384362.33,856121.44
1965,553334.74,82915.1,1042007.12,1541657.29,176287.27,827459.06
1966,419071.96,197107.48,991019.37,1762879.11,70284.95,812194.36
1967,359579.67,39029.27,1059561.71,1953119.24,40780.34,942781.65
1968,523133.87,171796.65,1110579.52,2035148.73,23770.33,781848.9
1969,641855.37,18382.04,1178953.25,2321927.32,5000.0,881550.82
1970,575830.49,20085.62,1028287.23,2516720.92,77850.37,1002591.62
1971,392980.78,141498.65,1100494.4,2810892.67,46904.9,871450.27
1972,387601.17,5379.96,1136394.0,2934797.71,5000.0,907600.87
1973,453879.71,143831.79,1283750.38,3457292.12,5000.0,911624.11
1974,600914.94,101648.34,1097634.24,3710117.31,5000.0,1072697.86
1975,550258.14,70270.72,1452362.55,4043029.65,5000.0,1110914.51
1976,469458.87,107958.12,1396505.69,4416718.31,5000.0,1130851.12
1977,390761.01,77997.31,1377645.15,4923570.22,5000.0,1119330.5
1978,470728.33,5000.0,1558546.6,5334733.53,5000.0,1075354.51
1979,627006.45,17701.87,1365870.24,5857204.09,5000.0,1179655.7
