Education and Academics,Library Visits,visits/year
Year,Arcane University Library,Celestial College Archives,Zenith Tech Library
trend,exponential_falling,stable_rising,exponential_rising
1982,101957.69,107619.75,90323.57
1983,100893.02,101982.09,106600.59
1984,89064.23,102485.5,131720.26
1985,85991.84,108333.56,128861.32
1986,76272.94,124919.2,147372.23
1987,56781.59,119846.65,157744.6
1988,50267.5,132609.02,170723.07
1989,61853.05,133604.88,201148.82
1990,30005.17,136759.83,214933.09
1991,31679.48,157536.42,218593.29
1992,28604.78,149175.81,260892.28
