Energy and Utilities,Water Consumption,cubic meters
Year,AquaFlow Utilities,Azure Reservoir Management
trend,volatile_rising,volatile_falling
1955,30785800.61,31146525.82
1956,32799288.42,26561300.45
1957,34727318.37,25650007.16
1958,40721572.98,23700043.57
1959,39609432.25,23766932.64
1960,43798643.92,19822071.85
1961,42366444.94,22851743.34
1962,45886993.21,20164078.73
1963,47064883.91,13105782.66
1964,52019618.92,11650830.02
1965,51459290.6,10537813.83
1966,59322726.86,12044032.06
1967,58302625.82,7659697.06
1968,62042101.73,7174576.35
1969,64686585.71,4806911.06
1970,66291883.13,2343452.99
1971,70382023.68,2233852.08
1972,72019413.39,3476778.44
1973,69373103.82,300000.0
1974,74731117.96,300000.0
1975,77459733.86,300000.0
1976,80204851.02,300000.0
1977,83970913.98,300000.0
1978,85333444.02,300000.0
1979,86440318.26,300000.0
1980,89128910.89,300000.0
1981,90443988.69,300000.0
1982,95461443.55,300000.0
1983,95893229.17,300000.0
