Healthcare and Health,Patient Visits,visits/month
trend,stable_falling,stable_rising,periodic_stable,exponential_falling,volatile_rising,periodic_stable
Year,Stellar Care Facility,Vitality Clinic,Meridian Health Post,Summit Health Annex,Lumina Clinic,Serenity Wellness Hub
1992,895580.87,1118352.73,1005229.82,984695.54,1080860.93,986638.27
1993,1044785.61,1104277.98,1035119.78,1003787.67,1177182.85,979784.2
1994,1088504.2,1141855.06,942150.03,919191.8,1083307.51,999287.66
1995,1079874.18,1186530.17,1017276.51,694203.48,1031204.26,992489.72
1996,1103991.78,1158335.52,1065783.88,681595.01,1417559.25,1073046.84
1997,1189941.6,1308872.51,990848.02,566478.74,1451596.21,945892.03
1998,1215511.26,1378533.87,990440.14,620887.23,1524018.26,942049.42
1999,1209334.89,1298876.03,1102822.54,482437.83,1426310.41,1015482.39
2000,1341017.84,1434571.27,898047.05,326458.56,1702453.55,983206.68
2001,1247769.45,1366907.2,1048845.94,383945.84,1786665.13,1031061.39
2002,1244880.36,1506247.39,1023662.43,287587.77,1974741.29,1017736.08
2003,1329877.51,1572919.74,994657.79,309088.75,1868929.61,978072.61
2004,1262926.16,1569949.36,943326.02,369344.89,1886271.42,948155.66
2005,1338741.97,1845922.27,980730.91,254802.64,1948918.72,1043506.87
2006,1452344.6,1782310.81,991055.93,151332.1,2153090.18,963473.92
2007,1569857.86,1679146.23,1038222.6,159609.88,2306402.38,1026413.94
2008,1368272.6,1790925.47,1073759.75,125300.06,2166839.24,1011396.49
2009,1450839.12,1706637.02,984913.91,248223.28,2278364.79,966716.89
2010,1600814.1,1904594.32,980236.43,159275.05,2584773.55,962774.12
2011,1593111.06,1966490.68,1003257.67,82301.7,2684111.38,1067023.92
2012,1439274.23,1937892.95,960103.16,120565.12,2611221.63,977824.93
2013,1585627.95,2093054.78,989585.93,10000.0,2682439.34,989011.83
2014,1707975.13,2130722.21,1073144.3,229517.96,2608969.73,1018915.53
2015,1917077.37,2272827.73,941332.31,139917.3,2877694.92,945691.87
2016,1641408.18,2171453.92,994581.01,34100.34,2868989.66,995956.17
