Healthcare and Health,Healthcare Expenditure,$
trend,stable_rising,exponential_falling,exponential_rising,volatile_rising,stable_falling,stable_rising
Year,Lumina Health Authority,Stellar Public Health,Borealis Wellness Council,Meridian Healthcare Group (Public),Aethelgard Medical Board,Zenith Medical Foundation
1951,896375046.96,996540962.79,983682556.29,788006151.43,1025805890.7,1088215376.62
1952,994999026.43,771216959.04,1007008113.27,1222276912.49,1108479829.13,992383436.23
1953,1206535099.92,664996855.63,1282479755.47,1199227237.82,1227395329.39,1274301733.49
1954,999200316.88,806447817.22,1274261649.5,1156888852.6,950390227.16,1197591970.48
1955,1127344964.32,654760315.02,1614202289.42,1354637039.42,996805680.93,1072620256.88
1956,1331104843.73,515968856.07,1477342651.35,1376917242.91,1187775579.13,1249153229.13
1957,1394592195.09,598218856.24,1604778912.56,1472473356.72,1208857867.63,1318292438.34
1958,1532603689.81,322352768.54,1924421289.42,1300849904.21,1313924486.04,1312334895.42
1959,1399819024.13,592672487.81,2192155970.98,1691712184.42,1279370629.02,1477348933.82
1960,1640782289.3,441788713.36,2363222996.83,1798507931.31,1379575843.7,1516187723.16
1961,1444796743.91,275706354.87,2721547009.97,1999058482.65,1292139409.4,1647970627.73
1962,1514538492.1,458806541.17,2729839500.51,1838415004.54,1313917417.38,1688368954.61
1963,1558163269.38,305118973.6,3271211716.79,1923507747.94,1280200316.24,1657676868.77
1964,1643078610.44,421415692.69,3483768664.22,1923014110.48,1389473339.58,1746548916.75
1965,1458797687.61,140969192.74,3784316212.06,1832980031.18,1495546997.14,1646136158.15
1966,1784263491.04,49636468.99,4260529311.24,2083940594.02,1447796623.19,1777504973.77
1967,1968946233.81,229424352.61,4568711751.61,2221970866.16,1452138257.95,1826353097.86
