Human Resources and Employee Management,Absenteeism Rate,%
trend,periodic_stable,stable_rising
Year,Management Team,Human Resources
1960,4.02,3.94
1961,4.99,3.92
1962,4.53,4.46
1963,3.44,4.66
1964,3.15,4.77
1965,4.04,5.08
1966,4.91,5.34
1967,4.48,5.31
1968,3.4,5.65
1969,2.95,5.83
1970,3.96,6.04
1971,4.95,5.99
1972,4.7,6.34
1973,3.37,6.59
1974,3.04,7.05
1975,3.94,6.87
1976,4.88,7.11
1977,4.63,7.55
1978,3.34,7.71
1979,3.04,7.84
1980,3.97,8.01
1981,5.04,8.16
1982,4.65,8.31
1983,3.51,8.7
1984,2.98,8.91
1985,3.89,8.99
1986,4.95,9.19
1987,4.54,9.33
1988,3.37,9.34
