Real Estate and Housing Market,Home Sales,units/month
trend,stable_falling,volatile_rising,stable_rising,exponential_falling
Year,Echo Trade,Aether Market,Silverleaf Emporium,Crimson Bazaar
1977,1079.88,1104.61,954.84,954.89
1978,958.28,1052.98,1146.11,687.99
1979,964.74,1287.74,1161.55,858.64
1980,1177.13,955.68,1117.99,807.15
1981,966.27,1281.09,1141.12,697.51
1982,1155.77,1446.77,1282.69,644.2
1983,1154.58,1442.93,1199.96,402.15
1984,1281.59,1881.36,1334.18,455.89
1985,1224.79,1516.82,1407.68,413.05
1986,1276.68,1625.61,1163.46,241.18
1987,1301.92,1785.04,1499.47,293.52
1988,1431.86,1778.42,1539.59,346.04
1989,1444.26,1902.49,1469.0,389.76
1990,1375.32,2183.63,1720.7,289.43
1991,1299.73,2155.39,1740.43,191.55
1992,1527.79,1950.5,1770.26,295.42
1993,1452.22,2190.06,1823.61,60.13
1994,1539.03,2257.35,1789.89,232.51
1995,1591.28,2465.43,2082.3,170.62
1996,1550.61,2660.93,1938.69,47.95
1997,1710.18,2552.62,1929.39,246.42
1998,1725.7,2509.72,2108.07,164.95
1999,1754.3,2768.39,2125.49,139.01
2000,1641.58,2726.57,2167.66,36.4
2001,1625.7,3085.93,2165.71,156.87
2002,1743.82,2823.66,2241.77,97.88
2003,1754.87,3002.72,2067.4,99.23
2004,1820.23,3261.44,2281.66,10.0
