Real Estate and Housing Market,Construction Starts,units/year
trend,exponential_rising,stable_falling,exponential_falling
Year,Veridian Plains,Sunstone Desert,Silverwood Forest
1969,504.85,497.4,503.26
1970,579.29,466.98,424.3
1971,618.94,521.94,481.42
1972,686.62,624.81,353.33
1973,722.1,559.4,342.25
1974,743.38,534.0,284.21
1975,845.68,607.54,257.62
1976,1003.14,592.21,252.44
1977,1094.62,656.95,214.6
1978,1184.87,692.69,245.5
1979,1310.35,649.05,221.87
1980,1426.5,683.52,189.81
1981,1587.61,656.97,141.19
1982,1727.95,726.37,164.2
1983,1889.84,740.22,104.05
1984,2073.06,765.78,5.0
1985,2341.06,753.65,91.4
1986,2520.77,835.27,110.76
1987,2765.12,721.16,77.41
1988,3078.99,809.52,63.01
1989,3373.22,751.39,36.77
1990,3672.53,785.31,78.05
1991,4042.69,823.0,27.1
1992,4499.19,889.62,31.49
