Science and Engineering,R&D Investment,$
Year,Starburst Enterprises,Luminara Solutions,Echo Dynamics,Nova Industries,Crimson Group,Oracle Systems,Aether Corp
trend,periodic_stable,stable_rising,stable_falling,stable_falling,volatile_falling,periodic_stable,volatile_rising
1950,9786857.52,10149664.15,10408775.39,10746679.11,10491654.03,9626729.93,8893772.56
1951,12639161.55,8652369.09,13294851.39,9520799.84,5747495.53,11504785.07,11445138.07
1952,11829792.65,8621886.76,12415144.78,11346436.27,6477237.11,10428449.95,12167595.41
1953,7364075.71,11750235.8,10942806.35,13375386.02,8794646.59,8589144.17,12186317.47
1954,7777675.97,13995672.49,11027101.18,11138688.58,7288151.15,7511288.77,13368326.14
1955,10365665.14,12496019.32,9139454.45,11819577.34,6680815.71,10427415.57,13311216.79
1956,12818047.02,13478724.25,11138475.93,10276143.88,8249396.65,12819420.9,12217187.13
1957,11730296.8,14674396.99,12154522.4,12952645.07,6222082.22,11189441.9,11487638.92
1958,8786496.84,13194076.88,11205014.14,12541053.98,3745898.93,9488778.01,14215069.14
1959,8438704.57,13538037.89,11913089.81,13715890.62,9807433.59,7243097.61,18680069.38
1960,9966006.86,16008271.33,13438980.08,14257390.08,6527126.01,10209377.76,18477091.72
1961,13243698.44,13813336.04,13380656.12,14984744.17,1252502.58,12118840.43,19874962.17
1962,10836869.47,16349469.23,14472278.36,16461437.32,2843800.85,12359608.72,17914882.58
1963,9647003.89,15944919.86,15272786.67,11639206.56,100000.0,8735032.29,18602121.79
