Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,exponential_rising,volatile_falling,exponential_rising,stable_falling,volatile_falling
Year,Luminara,Starburst Online,CrimsonLink,NovaStream,EchoWave
2004,232409332.62,261754816.59,167609329.73,167383418.26,158015893.38
2005,241002255.04,231057281.57,239386424.17,208568040.68,207899523.13
2006,274544580.62,217750109.8,251912915.74,255688557.14,174388952.73
2007,272355827.52,81402876.75,233537560.59,192981587.12,189554433.48
2008,250102419.89,13609410.65,322721810.09,169017843.91,212232293.25
2009,263570959.64,57307371.46,372522898.12,233921513.76,166179316.09
2010,349331085.35,203088627.95,328098828.63,283528613.91,51352583.58
2011,430572300.84,66135764.8,433051870.04,342252726.93,162834742.36
2012,389469133.18,99382759.78,476232946.43,305196262.4,70626540.51
2013,467591022.46,67858467.58,425616055.08,277458075.15,86308034.36
2014,556321824.37,2000000.0,507919389.98,216105097.14,2000000.0
2015,545633643.41,88574762.12,609291530.55,263528636.11,83980443.33
2016,577603784.24,72252509.32,647798069.8,219484488.26,141861154.06
2017,626764887.85,8077662.44,719223884.05,248138753.15,125845577.14
2018,738237224.32,94514324.14,806866568.95,260467952.78,58461799.63
2019,838021552.98,2000000.0,833255555.39,275387467.79,73211938.9
2020,928241623.66,25433245.34,831685520.24,299753947.9,2000000.0
