Sports and Entertainment,Social Media Followers,followers
Year,@NovaGamesLive,@AetherNetSports,@StarburstTV,@ApexAthletics,@LuminaraPlay,@IronwoodInvincibles
trend,periodic_stable,periodic_stable,exponential_falling,exponential_rising,stable_falling,exponential_rising
1954,9194991.36,9966647.96,8246516.41,7390687.33,9877913.63,10876428.57
1955,10154735.05,12877104.66,8321074.87,6830839.36,13470042.12,8148424.29
1956,11364356.65,9794956.41,8469313.22,14906139.5,9847572.9,12329827.03
1957,9385587.03,7745302.41,4656567.09,15719577.76,9144010.3,14012748.49
1958,7207042.76,8954812.13,5904904.74,14230402.98,11003077.94,17976542.01
1959,11222733.61,9347713.98,4397245.57,15815814.09,7130107.56,14275741.12
1960,10981179.87,12400940.07,6017878.74,18091647.12,10963358.99,22901270.26
1961,10580254.16,13409496.91,4371244.43,20417686.6,14315361.85,18920578.89
1962,9301789.39,11436720.22,6282235.33,25115227.16,13566845.85,22393534.75
1963,5211115.4,6875566.43,3641550.0,24133039.63,14234129.01,18220438.9
1964,9466104.22,9330843.19,3077961.91,22485188.61,13574401.77,25888888.7
1965,11883471.77,11082104.76,3857658.31,29474439.44,11490313.9,28487080.83
1966,11305243.07,11755036.82,6017129.1,31283213.19,15822390.2,31219074.36
1967,8063370.89,7692457.06,2229584.92,34399681.45,17950240.89,31372905.36
1968,7690448.15,7206301.59,100000.0,38852850.24,13944990.74,37045379.64
1969,9605151.46,9336873.69,1476471.0,42067223.09,16556496.03,40849375.07
1970,12534661.88,12377561.29,100000.0,46574017.64,17328422.66,46915589.06
1971,12376323.53,13229456.39,4185456.18,49563270.93,16632311.28,49238282.63
1972,9018898.34,9042620.15,100000.0,56640928.42,11454035.38,53465019.68
1973,7865097.96,7344813.66,3576691.13,61378293.11,18779238.58,63547033.75
1974,8764265.31,9829001.36,2759499.3,66247454.62,16568433.62,69047875.83
1975,13835848.62,12749347.77,3862692.15,75541059.15,13578570.53,73356169.58
1976,12843340.19,11386561.19,2492513.51,82763539.81,17735625.64,81519969.16
1977,8725075.55,7592496.64,100000.0,89983718.74,19109707.55,88544986.56
