Tourism and Hospitality,Tourist Attraction Visits,visitors
trend,exponential_falling,exponential_rising,stable_rising,volatile_rising
Year,Historic Forts,Wildlife Sanctuaries,Art Museums,Mountain Peaks Park
1979,46514.37,36813.5,51567.43,39899.79
1980,57162.44,53756.54,57647.98,40238.3
1981,26361.03,68958.24,47343.85,69535.22
1982,27310.2,44333.01,69171.23,44235.82
1983,33549.3,85694.06,85669.0,75344.11
1984,21844.44,94797.44,67301.78,77180.94
1985,30158.43,98773.78,73799.3,101190.89
1986,17437.75,89863.9,64466.55,106618.23
1987,31578.59,113738.87,70501.4,75738.0
1988,32140.59,110817.39,65592.47,94986.69
1989,51075.74,140835.7,79717.58,87816.55
1990,8621.0,133930.83,89237.19,103067.6
1991,31504.89,157414.09,70075.89,100616.8
1992,500.0,176942.45,78277.54,119558.68
1993,23487.79,212052.5,99185.79,83650.06
1994,18499.14,207379.95,81999.11,114617.71
1995,14456.76,223826.08,67132.14,137054.67
1996,3288.2,233755.15,83498.8,126002.64
1997,14156.71,286295.26,121212.99,126540.06
1998,4226.3,296568.26,88999.94,134821.44
1999,500.0,338204.11,92484.27,156999.84
2000,17044.65,374689.94,101771.74,124991.32
2001,500.0,415582.26,114450.33,127293.42
2002,8571.56,461558.99,85325.56,138911.43
2003,3085.95,478271.03,120190.33,158625.14
2004,4989.7,531483.09,110949.29,183737.86
