Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed,vertical
Rice,Cotton,Cocoa,Corn,Flax,Barley
5578,3640,4432,9668,11239,5526
4000,4819,4059,2280,9902,3431
11697,9796,6547,6570,6123,4001
6828,2016,5227,3537,3765,5514
5497,2603,5896,3511,4845,4236
4265,6406,6631,5789,4693,9008
8347,2066,4539,4535,5467,4643
6171,8223,4519,5347,6107,5513
7389,6681,4746,7322,3072,4829
7974,2650,3272,3559,4990,5475
5371,6229,3500,4885,4138,6145
9075,5882,4380,6235,8489,4265
5991,6562,5330,5064,3144,5796
10355,11790,6463,6775,5279,4885
7635,4566,3246,5405,11469,6633
8556,4668,4893,2372,5148,3275
5025,5070,5191,4503,3900,7837
5071,2994,3230,3938,4967,8191
10408,8785,3153,6577,7961,4471
5580,2898,3306,7692,6421,6903
12130,5779,5562,10090,5718,3832
7981,1898,5296,3062,3749,4834
12752,5393,4925,5038,5297,5970
9975,6958,5749,10167,5607,3342
4637,5046,4934,4510,4548,6008
4410,5556,3454,5286,6232,5384
12517,3375,2990,5885,5588,4643
9256,4017,3045,7514,3708,3294
4984,5557,4336,5350,8866,6450
4193,3891,5137,7008,10144,4741
11211,5472,5348,2863,7455,3695
3582,4931,7708,4187,5162,3546
12916,5619,3265,4665,8951,8491
6279,6988,5168,5124,5194,6001
8921,7271,6097,5136,6028,2886
5511,2267,5504,5460,5962,3318
4269,6532,4195,2504,11412,6603
14432,11578,7413,2261,5049,4172
8101,7864,4005,4654,6228,4837
4643,2758,7115,3699,5554,6662
12633,3112,3182,2430,2941,6315
9258,2434,2851,3966,4236,5605
5899,5353,4034,4511,5375,3148
4729,4975,2863,9283,9856,4672
5223,6022,6303,5360,6801,6035
8167,8079,7456,3697,5267,6044
5379,11430,3405,3014,5868,5276
11626,2488,5865,5443,5297,4251
5502,4485,4294,4326,8290,8215
13335,7487,4144,2453,4368,3288
6684,6533,7781,3749,5653,4273
10950,3791,3919,3750,4893,3456
4132,3510,7581,4430,12281,7637
5840,6050,2734,2814,8297,3803
4893,1788,3511,3573,7754,8310
13507,3869,3073,9849,4897,4648
3988,8246,3961,5235,7190,8425
3636,3829,4176,6547,5627,4087
11363,7772,2405,3900,4037,3670
8790,5869,4097,6632,7366,4430
13579,2878,4427,3267,7079,4743
3258,3586,6413,5238,8244,5913
9563,4457,5067,2712,4432,4304
4995,2363,3441,6991,6457,3089
3599,10137,4170,10249,4198,5491
9014,2486,5187,4417,4605,3969
4911,5883,2483,5018,5566,5905
8277,3284,3304,2550,3924,5098
4705,4168,7268,8819,8961,4162
4125,3197,4234,5995,5231,3483
6566,6948,4252,3730,4940,3483
2970,5848,6048,4371,10746,8128
4802,7729,3925,3944,4763,2927
5218,2498,3725,3718,3354,5499
2808,8703,3687,3890,6058,5380
6003,5017,3707,7359,3949,3988
14828,5942,4139,4304,9614,5254
5573,10214,5508,4107,4401,4669
6215,4332,9515,4638,5537,3804
7371,7286,4046,5137,3974,3986
14449,1932,7563,3223,3719,4819
4319,5943,4266,4470,8544,6029
6398,3160,5434,2344,4881,7245
7469,6900,7966,2277,6978,4112
9177,4443,9557,6465,5942,8986
2683,7786,9097,5775,6764,6674
6477,2738,6889,4770,5740,5080
3736,6678,5600,3203,3423,5312
10410,4149,6340,6663,5463,5152
3560,3969,4387,4907,6222,6459
7588,3822,6264,3529,5851,3548
6332,8760,4320,3115,6963,7913
4101,2376,6507,4301,5865,5832
3272,6341,3323,5244,12296,4489
3121,4332,5836,2470,10812,3173
10478,5845,6221,8384,8589,6384
9038,3856,2676,5271,6460,6654
5761,2992,3309,4874,6069,3716
5806,7879,2630,2743,4159,2750
9450,3815,4475,8285,8773,7955
3843,6000,6330,5340,3485,5677
6722,5300,6886,3920,3981,5137
4690,6030,5961,7120,11895,3297
10748,7080,4256,6514,7131,4414
13430,3145,8079,3119,4027,4297
5788,13656,3209,7659,5886,6068
8976,5372,3074,5164,7274,5636
6546,7395,3379,2937,6238,6471
6368,7217,3905,5895,3957,7524
6764,3047,7399,7048,5065,3355
14400,5671,4155,5704,5382,6060
4670,4590,5791,8671,5252,4080
9184,3517,5021,4140,7336,8109
3646,4443,5528,4349,6261,3841
11680,9123,3459,4658,8139,7714
7619,6528,3086,2480,3830,3650
5151,4821,4465,4501,12466,3074
7301,3766,5494,5881,5001,8098
