Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Springfield,Northgate,Glenhaven,Oakridge,Ashford,Fairmont
630,528,540,492,449,469
524,528,451,601,685,333
507,544,385,496,413,416
695,565,263,311,640,440
708,510,429,454,768,513
776,520,499,517,586,332
256,395,519,457,557,516
463,538,562,510,781,341
589,643,267,511,605,307
200,519,568,435,603,450
550,644,556,491,608,503
531,704,451,327,515,560
650,441,371,550,645,312
301,508,357,393,318,536
531,561,529,670,741,519
573,455,465,451,841,552
456,431,463,520,452,479
470,502,361,314,641,385
197,611,422,553,742,514
581,564,389,527,781,283
665,657,442,566,552,481
510,627,348,661,609,620
493,637,393,456,709,528
563,404,469,457,697,208
404,433,519,454,651,529
467,587,473,590,585,173
530,601,699,495,729,578
476,565,500,538,493,508
610,322,478,459,591,566
545,544,459,714,892,361
375,672,229,702,790,504
693,536,509,352,707,630
643,558,434,482,696,396
625,733,538,534,657,405
542,654,571,425,728,516
668,497,602,537,899,461
862,511,461,397,682,517
629,585,430,399,528,183
577,483,413,525,669,411
720,530,509,337,682,442
672,414,274,399,727,548
546,452,457,380,830,369
555,500,502,511,715,437
440,424,463,560,759,496
600,805,525,701,657,584
413,531,513,370,800,507
523,384,665,524,663,353
562,566,556,486,663,503
534,534,404,482,632,296
251,652,724,399,725,454
471,502,294,453,604,531
473,622,541,623,672,374
486,485,439,431,688,569
346,450,346,410,775,649
617,657,454,745,572,601
619,572,569,497,569,458
774,637,344,538,801,373
497,363,290,438,757,429
465,541,456,584,493,482
449,472,702,541,537,369
828,586,526,390,602,339
391,561,240,491,677,372
517,599,479,408,589,386
837,521,410,664,797,385
442,584,534,460,890,380
733,575,521,547,700,532
495,498,647,500,752,547
483,582,527,530,288,406
458,696,438,587,781,502
630,609,587,547,692,402
425,596,441,495,406,502
370,451,551,590,722,537
430,573,462,682,566,393
706,554,501,660,683,564
521,517,486,365,851,522
621,621,461,524,680,413
138,716,475,433,668,468
814,542,553,427,601,534
440,368,349,608,627,380
348,524,640,569,402,531
668,680,459,443,683,488
560,577,433,679,577,515
419,459,554,446,687,598
661,508,480,449,599,469
719,487,487,483,736,235
553,591,537,486,438,632
455,485,504,403,587,494
572,543,456,559,733,303
429,609,500,591,489,429
390,564,312,442,431,506
506,554,408,449,592,508
379,474,508,601,551,254
481,489,470,520,767,475
763,438,451,692,782,328
533,562,349,332,568,580
511,584,598,459,749,445
597,462,339,366,633,515
869,528,407,387,809,410
694,500,568,687,806,528
816,616,543,539,611,272
269,665,522,493,699,595
605,339,357,487,635,296
641,509,438,305,625,507
432,505,554,454,599,493
742,636,420,636,661,363
582,593,421,303,677,472
390,533,670,573,525,535
458,536,519,443,610,461
359,508,567,265,485,548
548,506,431,594,260,386
617,333,471,352,672,596
414,763,517,514,568,522
570,526,370,585,496,543
358,600,155,714,722,515
386,709,392,654,767,363
758,658,484,428,713,483
495,550,375,485,571,364
