Science and Engineering,Research and Development Investment by Country,million USD,skewed,vertical
Brookfield,Rosewood,Pinehaven,Fairmont
1254,1739,289,498
431,1746,845,819
977,358,517,157
355,1488,972,608
282,241,740,927
1483,985,1485,793
617,818,381,492
943,1082,504,358
406,624,572,354
634,917,199,220
1476,750,346,815
550,418,392,618
559,1132,457,753
292,226,817,534
1085,284,1042,930
1001,1318,596,793
450,812,307,438
1324,1079,556,795
1068,933,403,617
961,560,156,688
550,512,495,858
327,257,1176,679
692,275,528,491
1301,767,732,534
1418,406,318,641
1152,174,121,398
602,1739,737,452
813,227,921,271
507,927,342,843
267,532,584,606
372,796,346,644
404,681,332,630
833,1719,300,379
1169,710,1339,659
194,1178,281,270
1028,665,620,536
1118,535,546,781
460,677,154,318
1541,331,267,286
632,264,605,193
572,308,276,743
1275,762,451,296
577,906,239,311
743,1495,494,191
706,323,655,213
218,715,317,787
683,367,775,362
676,464,224,291
766,638,561,786
551,565,692,702
1229,530,461,1213
1125,417,280,359
352,429,721,614
813,517,309,364
749,262,1401,673
660,363,670,724
716,618,369,416
1166,938,286,678
720,837,245,538
1120,536,153,241
762,810,485,258
410,794,682,402
631,894,422,1314
1340,583,863,466
829,855,179,253
592,1184,687,813
528,862,343,110
463,1285,397,587
691,1143,448,797
534,312,282,514
616,536,722,168
249,995,155,342
1175,1106,416,739
728,1356,493,303
1113,1154,418,422
1593,1132,211,945
342,546,768,248
1102,247,236,380
982,368,789,230
680,594,329,615
700,844,762,845
406,1093,472,639
1364,885,953,416
760,450,293,153
663,508,457,638
695,337,472,439
190,337,340,176
679,1334,224,316
788,364,1061,285
1374,600,306,281
622,705,474,751
540,507,720,438
517,569,1446,326
1464,318,405,640
943,250,522,293
1367,529,353,450
1111,991,961,344
1378,583,631,239
685,531,272,579
541,1465,604,224
718,876,907,253
996,845,178,1068
1135,764,369,721
517,1230,350,283
802,474,345,207
1593,520,773,615
358,729,465,589
291,737,373,380
1061,408,1050,357
730,320,340,734
943,900,374,423
834,357,1318,301
1169,865,511,240
823,923,767,1009
464,618,204,495
840,279,528,711
476,278,495,372
425,1001,1193,591
