Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,normal,vertical
Streamo,Vido,Castio,Showio,Videx,Glimpr,Vizzle
14841,26665,15365,26151,31355,17091,20524
8805,25015,10941,23273,36327,12193,20235
5922,31151,15419,21727,26866,16563,18277
4668,23185,11604,24896,17750,12173,16320
1957,20470,10763,20532,29617,7698,18373
13612,21631,15461,26275,24550,14835,18545
12133,17155,11831,21702,32811,11159,17294
8374,24545,13773,19907,30146,5703,16799
8150,26865,12898,19882,34392,5190,17046
16778,26792,12235,23247,31078,15337,21777
12060,23398,11293,22635,24025,9000,16797
9693,15751,11823,28086,22358,5447,19583
8197,22932,11667,22707,30400,13770,20508
9938,20831,12106,21810,21626,5969,16538
12767,21109,14156,24340,25732,15278,16679
11882,27621,13970,24997,29113,18693,16464
10042,28746,8578,24690,28977,8593,23427
9477,27885,11319,18487,22672,2124,16597
6136,21311,12767,22516,21609,4582,17975
10775,20100,13101,17193,29398,12793,21384
1479,29449,11533,27725,25857,4306,15464
9105,29003,9737,27724,26257,12123,20076
9061,24616,11114,25691,29663,8777,13663
14359,16875,12405,22827,23921,9792,21605
9897,29727,15273,20866,27791,4906,19583
7973,23795,14413,22329,29743,11318,20921
12003,28207,13590,22817,29202,11309,17107
10602,25887,15262,23299,23507,13732,17645
5635,28300,10268,21854,25959,13407,21007
11447,28242,10696,20873,23180,15527,16254
8193,15136,16003,23726,23038,14086,20836
751,24365,11791,23851,25535,7480,16964
6500,22094,12209,19343,21548,4494,18150
7134,26270,13550,28571,32280,13166,21592
12557,25828,16142,26132,25746,7541,17886
9153,30275,10760,20933,24011,10806,16105
3582,25088,15043,22023,19088,11469,15942
16908,31683,16316,22488,29062,18102,16118
8077,21387,15770,25624,21940,11147,19952
7083,25749,12683,27309,20023,10073,17618
12014,20734,10893,21413,33792,13675,19355
8335,15801,17794,19224,28175,14113,18182
7497,17328,13600,23665,28227,17730,17714
11137,16479,13321,23877,28479,9101,18435
1737,26914,13147,22908,23895,7475,15453
8591,19511,15695,19732,28879,7901,20045
3309,28022,13345,20118,31947,14120,19543
7048,20861,9114,23745,26069,6729,18202
15092,30525,10684,19830,32929,4794,19722
17250,25183,14931,21768,17576,10451,18892
10364,27210,16367,22515,30646,10950,18472
8113,14313,14764,21966,21721,9840,18851
11689,24113,11571,24656,25607,17335,15061
9179,20947,10829,18848,21024,19022,16220
15577,28868,12449,23967,29479,15766,17033
10962,19372,13488,26887,23889,18716,15824
13286,23199,13266,24646,20848,10947,17697
8353,21538,11647,23102,24137,6170,22848
11319,24697,13840,26867,19856,15382,18474
6331,21278,11254,25675,19297,12772,20057
6622,25936,13294,20954,30261,11264,21095
16346,31694,13692,22505,31983,10372,19902
177,18490,13077,23380,27335,10768,21536
1289,24098,13172,22724,19300,16201,16175
14491,21059,11689,24251,31367,5002,19907
6833,21383,7930,27262,22381,2374,16197
12214,24162,14016,24047,28803,14501,17618
9901,19251,11541,21851,33478,16665,18486
3913,26672,14708,21715,28805,9544,19265
6350,19287,14631,27833,27184,9620,18348
6535,19447,14751,22887,25789,9292,16861
12506,26579,14996,27134,26316,3531,18509
14718,24102,15202,22653,27378,9504,21466
15148,22324,16202,21239,20002,15933,16200
8688,20805,10413,21742,28970,14653,16893
13424,20638,13514,22851,29073,10603,22695
12050,25193,11488,20776,32253,16680,17723
19419,30682,13607,26857,29870,9877,19240
6993,26153,11769,22874,23150,14414,19606
15886,22125,12122,23202,25682,15766,19498
13904,20261,9069,20391,28347,8657,15307
6084,21671,10308,29101,23761,10114,15541
7592,25219,11937,24202,28803,8420,18226
6304,16969,11095,25492,30390,5396,21446
4360,28539,9288,25162,26603,7282,18862
1200,29902,11128,24450,29784,6517,17754
13436,20168,9776,24188,30646,12587,21861
12442,22388,13239,23176,36418,12029,16953
5084,24854,14366,21629,19868,8001,18406
11745,25281,12013,20710,24728,7443,16068
6806,19841,11741,22244,29599,8085,22358
8965,20633,11146,25524,31476,9163,16982
8815,14448,15677,25485,28483,7291,23245
11804,19534,10076,27904,24581,11033,20812
14324,14403,10082,20706,26364,15777,18677
3557,29440,15569,23417,31152,8438,15024
9510,16317,11759,24418,34533,6373,21329
3429,23621,14442,23217,18432,11331,18125
16706,17503,12855,20486,29425,11965,19898
12006,24768,12520,23734,33452,13603,22750
12254,27173,17865,28470,31753,13217,15746
4879,16930,11274,19654,28954,16064,18245
10901,29348,13973,22090,25634,19865,18056
14746,22036,8980,21279,27112,10615,23935
14056,21884,13792,21950,24154,12212,19465
13930,25810,15102,22737,23589,11842,20589
7859,23910,11935,21574,29394,9377,21721
2675,27788,11216,25965,24655,3737,18699
5891,24420,9783,20914,31047,8107,22387
12322,30277,12219,21196,21239,8496,22110
16639,17667,12676,19561,22740,15136,18567
8925,28152,10014,25769,26146,16139,18934
12479,29470,9735,22234,31376,7459,19386
7244,27490,12048,24586,29423,8249,17474
6611,22555,12443,18571,23054,453,23914
9139,25894,7457,25081,34388,14664,21144
