Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,normal,vertical
Clipio,Videx
16998,25688
17268,28199
16569,31451
14996,30809
11847,26284
17163,24031
15717,31304
13330,29850
14306,34503
14962,30307
17144,27627
16532,29487
17116,26001
15808,28767
15763,31987
15749,33238
13288,22865
17649,32058
13780,23930
15883,19393
19137,27340
14781,29111
16688,28270
19424,25701
15725,24202
12692,32662
14824,30713
15653,35292
18100,29095
16509,27557
12238,23334
18657,28567
19290,29199
15371,31763
16190,32048
18100,33621
15925,30622
19277,24181
14735,24219
14882,22148
11385,23539
16867,23565
15855,31681
15683,29902
13332,27141
15687,30191
17543,32534
17166,22082
13892,30898
14441,27218
15885,28981
14027,25764
15083,28316
14120,28418
16071,31355
15918,24948
13801,29227
13873,25378
17957,23534
16942,34425
13942,31232
17963,33315
11849,32797
17116,29233
13823,28204
14118,27315
18495,21730
16091,31494
16295,29574
12904,23862
17505,30777
17161,27937
16171,29801
16933,34604
16775,29990
16220,28925
16480,32108
14861,32526
18287,34237
15648,27688
11432,33389
18108,34257
16325,30202
17149,33370
14233,30829
16899,26228
16122,30606
15948,27863
17400,24643
14542,29521
15263,29872
16468,27497
18193,33189
17611,28124
14592,22161
16180,30111
14932,34443
16975,25774
15396,30312
17133,31768
14973,34288
17210,31479
14771,29234
15206,26994
15834,34745
13357,27857
13253,27608
17167,33835
12150,33966
16471,21236
19063,26476
13397,32277
13509,31336
17413,25982
14753,32941
16320,34162
15957,31257
19252,24021
