Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,vertical
Fading Light,Frozen Time,Broken Mirror,Deep Waters,Dark Horizon
689,487,387,1096,433
211,278,213,298,157
1131,421,808,649,392
826,281,418,324,423
1080,493,626,987,392
830,940,117,623,759
272,346,407,665,877
612,729,716,177,602
516,570,262,200,428
939,540,851,1014,1105
337,220,973,500,265
664,479,814,236,239
624,721,301,329,368
266,932,880,538,484
798,551,182,1359,313
1050,589,482,540,187
582,729,628,507,557
393,418,380,391,1312
531,424,341,360,530
742,681,370,246,399
703,557,432,846,452
275,789,1128,419,923
125,734,445,461,500
590,297,1264,178,414
357,476,427,302,763
217,344,328,150,468
247,1315,580,373,273
207,863,746,877,867
443,1064,1090,799,210
401,996,702,606,353
861,339,336,658,550
896,934,717,1170,229
1131,1056,515,804,380
367,538,281,284,906
1115,792,369,1024,154
304,1011,386,1419,1029
358,349,283,328,490
433,499,487,1002,704
241,678,496,1233,558
702,937,801,350,573
329,803,690,447,260
474,591,830,1179,207
334,558,520,447,472
805,833,777,287,461
239,450,913,367,775
570,580,554,575,194
271,1377,1027,250,842
230,466,319,324,232
995,506,1163,579,736
945,891,1260,1064,429
720,697,742,760,131
424,309,429,922,270
766,663,916,455,98
299,556,187,395,404
259,376,563,1311,267
510,401,436,400,306
894,680,281,406,246
841,237,664,1059,287
172,1449,785,811,250
211,571,429,491,293
554,563,342,192,423
309,414,736,1329,461
180,1041,215,473,477
361,1184,570,265,701
626,553,637,475,693
610,390,361,760,147
840,500,1260,568,924
617,1065,634,459,180
504,1166,515,486,559
580,431,252,463,1060
454,1049,665,904,166
514,533,342,395,263
866,340,1112,632,336
140,759,293,741,395
362,358,754,216,200
355,330,814,379,744
419,757,477,255,401
843,576,345,544,1138
120,569,177,579,548
333,898,679,454,1064
925,343,717,110,259
758,214,281,572,815
778,260,1142,427,463
267,1193,363,517,440
330,575,313,331,704
327,729,365,550,400
866,808,341,294,212
654,814,928,622,700
764,624,886,557,213
1002,480,492,482,475
756,1270,416,1050,465
435,503,467,750,316
647,968,960,261,310
118,733,1150,681,831
669,862,392,254,571
326,402,750,867,366
876,142,489,246,355
1032,1072,819,427,272
718,234,375,782,757
671,492,232,687,308
415,391,248,465,434
221,1038,386,323,167
581,904,715,350,185
957,676,756,427,320
495,472,664,386,235
646,541,604,362,353
563,877,549,409,819
347,1057,454,189,571
522,454,611,468,413
189,1189,441,662,649
784,245,1084,417,295
966,482,353,393,935
216,584,612,439,271
444,572,188,411,261
860,851,361,604,488
1033,467,294,1207,489
438,1347,418,444,745
516,828,987,502,967
