Sports and Entertainment,Data on the projected box office revenue of different movies,million USD,skewed,horizontal
Plain Sight,Nightfall,True Edge,Starlight,Lost Signal
492,902,351,307,589
373,1059,1271,361,752
597,796,661,1067,521
316,365,589,790,1555
560,1071,340,386,513
332,413,332,418,735
672,309,673,563,727
561,777,279,393,454
721,696,686,898,815
223,535,483,201,737
275,466,1182,608,778
597,344,422,300,1098
585,644,485,207,570
295,994,200,204,957
407,251,994,542,1090
1713,503,450,145,709
662,384,439,409,608
646,236,741,251,817
283,492,229,549,655
746,403,611,374,1088
799,743,380,164,324
527,955,276,291,677
599,520,1004,425,947
798,509,295,509,998
1550,276,475,245,621
284,207,439,230,1050
530,508,353,1455,799
397,542,184,444,1506
313,1000,680,768,799
556,1040,703,626,763
485,544,453,129,1693
663,668,449,180,528
561,427,348,214,1024
741,715,306,940,974
307,423,445,298,984
1390,401,930,738,901
542,1036,465,308,527
579,258,567,311,993
560,448,403,768,784
1304,830,598,399,1169
200,363,908,502,533
616,606,923,528,602
1014,550,594,225,358
923,982,500,141,539
640,302,371,695,1182
965,498,598,512,313
387,323,390,979,1175
740,1001,637,525,1006
797,368,422,805,857
1491,788,588,1091,1857
941,691,201,404,920
477,416,316,653,546
628,332,595,447,1052
350,998,203,367,1378
472,1237,302,462,673
410,965,592,984,792
1296,770,471,197,830
334,1034,1044,725,1083
614,649,460,317,1160
658,325,274,690,934
580,242,450,595,551
1271,255,550,252,1078
738,592,1347,136,935
745,255,447,301,814
751,454,712,658,910
641,475,326,323,456
219,596,810,584,681
633,730,1077,490,865
569,415,1185,451,1188
517,831,645,668,343
430,958,762,282,784
1044,1044,504,813,1892
763,479,484,296,348
623,541,720,335,657
869,1079,982,214,633
327,435,815,253,835
443,786,578,424,302
485,399,894,307,1057
499,193,473,376,1592
592,1275,672,497,767
1055,270,379,342,368
658,907,412,730,668
258,236,407,587,795
422,1135,342,468,515
735,695,903,329,933
588,261,338,491,557
1429,638,410,273,903
213,694,392,453,438
246,1309,386,303,693
343,411,158,125,651
213,325,991,444,844
449,365,379,1286,483
1306,649,151,1424,678
947,362,860,224,396
387,506,483,277,721
763,249,393,148,661
671,627,545,614,908
327,323,532,405,430
609,308,663,762,408
201,422,503,501,819
780,448,392,371,548
827,758,354,480,676
825,677,503,190,1300
640,1067,628,510,436
518,580,1032,241,634
520,611,484,275,1012
311,429,264,419,1019
364,756,729,331,919
1052,236,738,573,805
928,978,1136,537,976
961,665,563,312,1812
236,212,385,282,557
835,808,365,259,667
566,658,945,566,887
622,956,247,437,248
851,790,518,375,557
547,1408,255,368,645
848,640,425,559,753
