Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,horizontal
Whisper Reef,Celestial Arch,Emerald Beach,Dragon Ruins,Sun Harbor,Silver Grove,Misty Trail
13618,7920,4846,2346,8771,3093,6674
7705,1982,3149,6080,11881,5128,10678
4535,8047,5221,4281,8673,3166,8474
13955,3812,9241,13243,5806,4019,6287
8768,9158,13395,9646,5329,10846,6888
13816,7400,7137,8033,6868,4282,2972
8895,8582,7837,6935,5355,2424,1715
7766,8085,6679,8649,8768,6669,8998
5812,8287,8979,5187,4259,10180,9647
8148,13065,6214,6875,4804,6759,15254
6755,1181,8941,13962,7304,9515,9418
3708,7745,5249,9337,10574,3185,8901
11800,3404,10916,9107,11243,6922,8865
7129,10082,5727,12825,6965,5273,1723
11142,7805,6575,13082,10248,7753,11608
10038,5435,2489,9397,7154,11193,4371
8147,621,9823,6432,6313,685,13521
6311,6355,6181,14232,9873,7453,9244
7540,4817,5283,6596,2586,10213,10808
9979,6984,5695,7292,10016,12005,7222
8903,10675,6605,10573,7759,4459,11894
5423,5130,12210,7403,8543,14933,5150
7462,9757,1639,6205,8243,9239,7943
14282,5550,8302,9258,9123,6669,6433
5315,6101,5651,8658,10262,6606,9312
5155,12413,8589,5435,9613,3048,11705
2729,6431,6271,7533,3569,8775,7745
8788,2248,1007,12440,8738,5855,5199
15370,9929,10835,9073,7477,9818,6120
9733,10943,4653,6793,11702,5120,10288
7625,9222,7913,566,8637,7651,6416
8601,6291,5498,8228,3410,4383,7133
7761,5363,6537,7591,6736,3450,9484
820,6393,10609,9746,7748,8550,8494
12183,14528,9590,9244,8410,8877,5100
8103,8773,314,11093,5980,5738,11668
15054,2764,1283,2991,7091,8373,8166
9131,10684,7510,12155,9848,10285,11707
10312,3013,3908,6536,6485,6544,4961
3251,4983,8499,6488,7184,8049,4974
8617,10148,9083,9810,5722,5012,7546
5230,8306,9450,11247,9138,6166,8693
5086,5676,6426,9737,12599,6753,1832
2970,2750,9143,9688,10768,11963,7726
5724,7865,1951,12815,8868,3856,9819
6594,9762,8539,6697,5783,5262,6480
8442,6773,4874,7869,11088,6195,2811
10211,7724,5035,5730,9742,8340,5727
8192,6099,3759,1324,2022,12037,3238
8860,2051,9020,12284,7598,10615,11676
6912,8692,7950,11633,4310,6411,8875
5671,3852,8533,7361,8342,7828,6977
11961,8182,11644,8242,8454,8570,10202
9817,8302,4814,10843,4668,11559,4961
8892,4222,4220,5384,7638,5534,5786
12840,11642,3528,11127,8591,12080,10810
5953,12552,9845,5462,12063,8448,7402
6522,6085,13586,7152,9830,3801,11810
8540,10422,8170,8239,5982,6180,5188
9871,7812,9103,8714,8682,6293,8114
1833,7211,3336,12863,9059,9081,6793
5350,7117,10922,6850,10346,5132,6680
10454,2865,7944,10202,7694,5231,14262
10270,5157,8568,7368,10870,5982,4732
10217,7037,8870,8297,12346,9474,7406
7333,1404,9074,11041,3482,9292,6066
5283,8668,5987,8075,3914,8949,9651
5608,2062,4514,7674,12142,9469,8359
7708,4976,11697,5109,5657,7702,9544
8644,6346,6704,9050,6072,1128,4345
7913,5790,10987,8804,15503,8234,9115
12328,5458,9698,9744,8063,10124,1008
5383,8361,8410,8850,4696,10332,4214
11670,1323,8719,8233,6229,7923,8588
5206,7129,3220,8277,2898,7557,8721
3186,14302,5688,7478,9843,6791,14461
7521,10688,4068,12415,6648,9856,9040
8807,4978,8938,7360,6685,3112,7751
7565,5092,2984,8774,8488,6835,7349
7969,7121,7608,9912,6637,7010,10075
7921,7865,7286,6737,7845,10125,11245
8227,12128,5081,8602,8447,6566,14462
9261,5760,8785,7738,11067,4035,6581
4767,5556,6770,10442,5992,6075,8842
8601,7822,8992,9739,7163,5967,7385
7290,6902,5435,5722,6737,4941,8168
8878,5673,6413,9588,7756,9029,11568
9349,8184,11903,6699,6376,5966,5507
10741,5901,10249,6079,6968,4224,13440
11766,4656,3550,7838,12573,6649,12647
11151,10820,6237,12298,4097,6720,8383
3514,13719,8579,3455,13381,4188,4751
8963,11079,11509,7169,1110,6106,5937
8347,8355,5493,10603,7396,7566,10231
15174,11963,5165,6258,1577,9806,14048
9596,12218,8395,8080,6365,8304,10442
9927,8779,8735,7341,6265,6464,8751
10192,3640,11233,7454,5350,11271,9286
2522,16378,10899,8295,9320,4657,12165
7368,10323,8399,8456,9396,5637,5226
6392,14272,9806,3887,4705,5053,10020
8134,6622,4091,9395,11217,9457,9012
9773,7357,14107,14260,12067,4809,14369
5552,5871,5432,11808,11327,6255,10265
10221,4466,8871,8036,6388,3703,8491
3178,10207,4300,7719,5957,14734,7692
7225,5575,5054,5472,8690,6112,12500
10349,9495,9589,10853,7365,3479,6556
7193,6848,11054,8386,10135,14041,10012
9766,9290,7482,7242,6366,7482,6889
7200,13105,10707,8470,6588,5448,11403
10471,4951,4804,10374,6430,11774,9532
14150,6970,1045,10531,10560,7264,10588
8027,6182,7529,11433,7703,5802,9976
6910,11519,7433,11680,4947,8355,3953
3462,2042,5158,7669,9806,10789,10865
