Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Coral Lookout,Dragon Ruins
9812,7063
9990,13774
6753,7585
5047,9542
12385,9266
7366,5250
9146,3281
9721,6171
2949,13576
5944,13190
12959,5558
6726,4652
11222,6686
6218,4913
7931,10182
2899,11196
7790,6279
3365,12105
12872,8243
4735,8653
9685,8395
6629,10206
5980,923
5779,8692
7608,6753
5253,6997
4111,11653
9393,9272
5365,9627
3036,9407
10664,7536
5554,9725
8062,5927
7608,11324
7588,8091
9596,5535
9302,7053
10802,10685
8714,5377
7210,6924
9512,13294
5343,6513
6230,3943
9295,9386
4007,7116
7377,11389
5710,7809
10858,12158
2480,7126
7284,8751
10443,8879
6921,6857
5859,6528
4562,8224
6661,10492
5351,4007
5648,9052
8657,13387
7677,5134
6467,7279
7534,11388
7986,6366
11921,6313
8101,10392
13200,9238
10415,12899
13768,6926
12301,7912
11276,8131
3621,11550
13635,1736
6912,11390
5919,8427
9378,6139
12635,8908
3743,11438
9913,12486
12053,13424
2161,9151
11865,9611
8437,11867
11639,4452
9239,4989
8143,8122
7763,6396
11974,11053
11282,2227
8160,9761
2642,15167
5188,9423
4538,10472
7345,8828
12273,4984
5825,7795
7683,13124
6761,7059
4374,8144
8535,6840
8448,3854
12506,6734
7594,8352
2457,9537
7342,9781
5585,4029
4303,7078
8624,6770
4873,10686
7682,7776
9786,8957
5973,9605
5792,3182
4494,7345
12356,8888
6192,13564
11928,10746
823,6801
7234,10284
6085,3108
