Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,skewed,vertical
Thunder Canyon,Celestial Arch,Misty Trail
17869,9363,14580
11142,6546,9264
9922,4946,9378
6192,5659,9511
4793,4805,6399
20144,7297,10306
12699,14453,12916
12611,4855,8267
7397,6498,15270
6529,8100,8162
11240,11899,9981
8701,11169,8460
11314,13335,8986
7024,10112,13618
10729,12988,9001
4213,11267,6372
7867,7579,5461
9301,16481,13939
18540,12533,12156
19339,6187,12316
9861,17388,9482
7459,4353,10058
8378,6715,14356
21310,8244,8780
7576,9614,14897
24149,5480,10759
11903,9768,7997
20658,18338,6388
10325,10019,29376
15379,7118,13190
42102,7204,13030
14025,4943,7798
10012,9935,9769
4961,14138,15302
20905,12260,15894
10621,7264,16029
20118,7332,16171
9391,10126,22069
10206,8427,7651
7346,11419,18573
6734,4856,14925
15075,16086,6124
6853,6151,3359
9914,5199,7477
14928,17565,8133
10378,9927,6520
12927,3610,8770
27341,8852,26477
5990,7143,12245
13692,6812,21161
7435,8516,9889
6558,6863,11917
5473,7070,13050
17414,5975,10361
14296,20374,37263
8535,6203,5648
13580,9282,11643
5267,9621,4377
20953,12687,10091
10182,9290,13237
11139,6543,7935
7341,5996,15116
15954,11404,12854
14005,11241,5818
11986,14141,14799
8104,14266,17577
5645,3464,5410
5543,21964,12165
13262,9293,17826
9784,12777,9821
24287,8859,13335
8691,7013,9449
9949,9565,5853
11223,12620,8864
4841,5233,5227
10922,5265,4996
6677,10644,13547
11217,5593,7284
20830,6047,14193
19173,4449,7610
10554,5889,6895
20065,11548,11278
14870,18193,29477
18532,4999,7161
7800,8767,8882
7366,11397,13617
4830,8819,13730
14004,14277,25076
14867,5334,7530
7533,7326,9620
14513,17211,9297
14255,10092,10399
7419,7055,11234
19662,6626,9804
9334,5019,10190
11706,6795,13617
6024,13019,9166
9910,9944,21343
5330,11143,4811
11920,5837,4432
25366,12797,6922
10702,9031,9462
10272,24189,8230
5711,5176,9541
21103,7759,7363
21720,10569,17358
13443,5922,16037
5949,8511,18044
9342,8723,15376
7482,6069,19462
10909,7100,8407
21447,4304,18607
19773,9830,12122
19367,16032,19482
12931,7226,5410
20774,6346,3512
4704,5974,20033
6368,10001,16568
9635,12658,11365
15209,4778,8811
