Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,normal,vertical
Dunvale,Ironwood
1235,1258
1214,1549
708,1287
2388,962
2001,1418
1370,941
1299,1100
2325,1325
1526,750
1633,1670
515,1222
337,1057
920,518
2228,521
2566,1446
1351,766
2405,799
1790,1529
1565,1249
1270,1437
1789,1286
1996,1463
1834,1492
1596,918
1334,1842
1857,1901
2474,903
1758,1408
1739,1603
1457,685
1895,996
1111,1598
2275,533
1808,1035
1212,1660
1665,1936
1136,1202
2669,513
1080,1345
2189,1735
591,1469
1390,1366
1559,653
2189,691
2128,1595
3203,1457
2481,752
1154,1259
2179,1679
1854,918
774,1613
1071,871
252,733
1862,1619
1474,1034
1165,854
2001,526
1748,1295
176,1406
1502,957
1135,2012
2835,1236
1034,1039
803,822
1600,1218
824,1008
779,443
1566,728
1432,1707
742,424
786,672
1771,679
1936,854
1268,1438
1553,1365
2372,1033
2445,969
1521,1184
1814,1022
955,1296
592,1902
1323,1008
2030,674
563,695
1245,496
2603,1618
1125,1314
2619,871
1299,614
1567,903
1470,1247
2185,566
919,1413
2140,627
1490,1161
2127,816
2719,949
2326,640
1847,1187
1793,1158
1780,1687
760,1686
339,1011
1970,1446
1962,1664
991,1654
387,933
1558,1619
2443,707
2173,1443
1073,497
2505,72
828,780
2151,781
2548,814
693,1502
