Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,normal,vertical
Ironwood,Springfield,Zephyr,Fairmont,Quarryville,Brookfield
1935,1630,1655,50,867,2044
2519,852,2259,671,2483,1731
2819,866,2020,329,1386,2417
2168,597,2136,1385,912,1530
2539,727,2086,712,578,1653
1998,1212,2396,473,904,1742
2182,991,2090,478,91,1852
2516,1125,2241,959,780,2041
2380,2034,1689,943,1677,1803
2352,1548,1700,534,1292,1888
2049,1507,2144,429,1279,2086
2214,826,2318,30,1239,1953
2470,1346,1475,1060,1869,2121
2844,1219,2749,463,1167,2119
2716,952,1744,987,1092,2006
2285,1032,1756,522,1393,1946
2449,499,1763,1348,781,1652
2547,1101,2012,398,607,2197
2352,540,2831,921,697,1686
2273,2030,1323,860,1416,2257
2351,1171,1712,754,491,1743
2075,1807,1624,550,2953,2024
2391,365,1197,1142,2778,1928
2398,63,1918,944,702,1428
2492,853,2131,194,632,1918
2475,404,1923,900,1560,2155
2274,915,1998,703,393,2268
2205,1705,1760,1034,2065,1734
2124,820,2356,1091,755,1594
2287,463,1694,1031,1241,1947
2296,1496,1985,792,1589,1930
2235,1217,2432,1048,1828,2022
2754,1402,1775,931,1215,1156
2480,405,977,1740,391,1835
2117,1545,1426,1596,1612,1637
2315,1374,2635,892,1525,1775
2119,1215,1356,1624,834,1327
2572,1061,2331,674,1046,1679
2837,951,2336,8,534,2486
2462,699,1886,1857,1594,1893
2239,970,2780,1209,478,1330
2198,868,1980,573,1078,1565
2233,638,1806,177,1403,2397
2327,1020,1409,967,402,2095
2294,946,1406,31,1165,2241
2114,1493,2089,1062,1220,2112
1794,841,2139,1126,1179,1677
1595,1635,2319,571,624,2061
2202,1617,2539,359,2522,1772
2227,644,1761,279,386,1544
2386,1207,2011,35,2224,2061
2159,1482,1514,1044,416,1488
2059,537,1331,260,1264,2352
2434,603,2439,1788,459,1771
2363,1361,3083,120,1189,1733
1762,1658,2155,1047,2077,1934
2385,869,2292,1026,279,1653
2315,1073,2493,1731,861,1629
2231,870,2088,344,1137,1927
2566,547,2505,1364,80,1946
2181,304,1814,1335,685,1648
2745,1283,2088,827,937,1979
2333,1109,2585,310,1212,1789
2184,976,1888,617,1066,1973
2211,1175,2341,1085,601,1671
1782,1671,2316,522,287,1673
2421,947,2249,638,1102,1701
2666,1600,1582,636,1343,1180
2556,413,2230,829,937,2360
2134,385,2295,871,1665,2018
2163,1362,1509,971,638,1745
2183,1419,2263,158,1005,1391
1759,866,2363,1212,444,1407
1892,743,2610,804,296,1908
2078,813,2496,632,1819,2161
2757,843,1472,661,1008,1960
2330,944,1662,819,2232,2051
2020,945,1314,316,1414,2044
2087,959,2458,1116,1079,1857
2189,2023,1594,432,1447,1787
2325,810,2488,1091,1912,2061
1870,173,2396,988,425,1951
2301,995,2569,1224,434,1718
2246,929,1898,1323,2274,2014
2124,602,1549,1159,1359,1858
2512,974,2433,1033,1007,1201
2577,1002,1957,1116,2315,1653
2488,1029,2239,1085,1029,1871
2207,408,2473,192,1801,1864
2169,1086,2465,797,1687,1982
2121,1794,2739,311,1416,2114
1987,1464,2528,1362,439,1896
2477,420,1756,466,1553,1736
2277,890,2127,1275,1423,1789
2173,590,1502,468,1479,1659
2095,1639,2007,789,501,1822
2414,951,2153,1219,260,2144
2310,1666,1599,971,1196,1615
2794,825,2549,223,145,2167
2222,238,2386,400,2126,2133
2313,1671,1876,557,880,1503
2019,1206,1292,1423,518,2322
