Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Springfield,Glenhaven
2519,5108
2840,4973
2434,4885
2424,4861
2485,5064
2328,5507
2134,5423
2241,5537
2147,5155
2550,5226
2459,5071
2606,5314
2814,4728
2444,4892
2215,5160
2645,5350
2243,5056
2250,5041
2224,5378
1720,4944
2237,5195
2374,5092
2042,5293
2365,5098
2344,5256
2323,5285
2029,5370
2500,5031
2278,5199
2266,5197
2243,5394
2620,5259
2446,5129
2577,5047
2633,5022
2354,4922
2346,4938
2492,5030
2683,5453
2352,5186
2349,5173
2259,5060
2452,5307
2610,4971
2232,5326
2389,5022
2362,5169
2430,5302
2395,5157
2042,5095
2164,5115
2338,5141
2357,4852
2335,5320
2514,5516
2402,5052
2650,5060
2339,5431
2358,5477
2371,5267
2561,5287
2428,5069
2471,5200
2286,5056
2107,5385
2259,5375
2413,5108
1624,5417
2572,5101
2464,5206
2265,5102
2412,5500
2486,4923
2500,5404
2361,4694
2493,5005
2685,5045
2118,4940
2490,5188
2255,5329
2520,5230
2196,5128
2407,5069
2494,5091
2212,5363
2288,5502
2494,5329
2514,5206
2387,5081
2241,5359
2216,5268
2484,5044
2414,5070
2741,5121
2468,5234
2202,5281
2824,5291
2203,4949
2437,5087
2550,4968
2815,5077
2753,5155
2237,5090
2439,5253
2513,4962
2528,4859
2226,5193
2268,5215
2195,4931
2417,4848
2312,4841
2326,5078
2100,5395
2237,5186
2606,5189
2351,5555
2426,5042
2293,5123
