Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Ashford,Brookfield,Pinehaven
5307,5374,5667
5584,5465,5586
5330,5311,5581
5404,5570,5819
5152,5183,5500
5641,5665,5633
5264,5771,5895
5363,5793,5530
5910,5527,5783
5482,5766,5392
5516,5318,5515
5422,5678,5698
5542,5670,5387
5158,5626,6045
5485,5667,5414
5694,5401,5718
5253,5135,5697
4842,5740,5553
5315,5952,5708
5466,5474,5425
5352,5371,5392
5377,5876,5711
5923,5336,5639
4979,5592,5575
5209,5556,5909
5334,5936,5666
5313,5609,5906
5061,5363,5693
5512,5302,5523
5344,5843,5696
5201,5458,5788
5805,5519,5510
5413,5533,5725
5398,5187,5402
4913,5810,5838
5383,5528,5695
5251,5471,5640
5369,5428,5572
5602,4996,4972
5289,5478,5399
5552,5412,5571
5117,5776,5961
5537,5207,5588
5548,5753,5624
5013,5635,4970
5415,5425,5653
5501,5689,5655
5408,5212,5502
5176,5755,5233
5336,5471,5551
4972,5413,5487
5717,5752,5625
5377,5372,5808
5315,5202,5526
5179,5437,5539
5183,5625,5635
5535,5421,5544
5915,5554,5923
5200,5914,5525
5506,5777,5830
5453,5768,5650
5402,5496,5464
5076,5947,5598
5492,5633,5752
4980,5793,5735
5586,5582,5604
5468,5564,5581
5667,5624,5545
5331,5390,5797
5433,5571,5577
5274,5407,5395
5126,5771,5260
5255,5289,5375
5379,5726,5844
5624,6067,5797
5183,5737,5706
5008,5626,5824
5601,5320,5360
5171,5328,5714
5328,5370,5336
5512,5782,5727
5476,5620,5721
5288,5317,5797
5189,5553,5633
5257,5603,5866
4728,5691,5604
5554,4964,5653
5385,5253,5503
5441,5646,5631
5751,5598,5484
5342,5257,5734
5360,5674,5680
5103,5818,5640
5400,5344,5643
5002,5566,5812
5461,5706,5589
5384,5506,5602
5695,5934,5466
5423,5487,5573
5182,5667,5494
4956,5605,5957
5224,5473,5547
5455,5409,5945
5482,5897,5506
5439,5718,5539
5185,5551,5756
5838,5991,5441
5239,5324,5565
5551,5492,5749
5262,5673,5515
3394,5371,5643
5065,5780,5283
5270,5663,5793
5486,5601,5631
4905,5824,6110
5544,5861,5538
4661,5481,5493
5389,5311,5715
