Energy and Utilities,Data on daily energy consumption accross cities,MWh,skewed,horizontal
Creston,Northgate
2065,3497
1411,2109
1327,1827
1457,2871
1382,2033
1829,2401
1226,2484
1774,1923
1519,2087
1390,2376
1370,3297
1406,2139
1499,1935
2165,1996
1879,2415
1292,2596
1840,2540
1200,2058
1439,1871
2011,2174
1338,1717
1215,2143
1529,2769
1361,2790
1235,2126
1498,2798
1517,2941
1289,1741
1325,2200
1456,1851
1767,2450
1663,2307
1250,2416
1415,2338
1839,2236
1988,1950
1184,1815
1319,2156
1190,2208
2030,2289
1163,2431
1359,2362
1418,2048
1809,2967
1497,2156
1514,2105
1378,1911
1415,2368
2827,1896
1362,2184
2059,2142
2006,2745
1635,2174
2019,2406
1502,2059
1288,2561
1286,2059
1782,1948
1498,1778
1322,1937
1554,2298
1421,2257
1290,2016
1349,2537
1348,2744
1455,2823
1755,1796
1753,2418
1376,1769
2579,2160
2364,2132
1331,3342
1618,2330
1120,1949
1455,1928
1284,2639
1552,2194
1986,1833
1736,1992
1831,2270
1224,2208
1710,2164
2351,2018
2005,1738
1330,2248
1448,2088
1487,1831
1681,2006
1164,1727
1284,2927
1330,1729
1519,2167
1314,2123
2006,2157
1434,1985
2185,1946
1380,2111
1230,2409
1405,2314
1866,1946
2057,1815
1393,1926
1900,2615
1243,2158
1403,2040
1315,2227
1272,2368
1295,1847
1367,2420
1588,2006
1463,2516
2343,2559
2290,2029
1535,2475
1312,2315
1572,2174
1164,2418
1239,1912
