Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Bars & Pubs,Sushi Restaurants,Pizza Restaurants
164,409,806
630,596,365
282,410,846
122,834,805
235,501,1145
216,523,391
192,875,436
1053,520,580
774,1014,388
446,316,547
830,208,814
317,374,281
383,182,1269
708,437,279
247,566,692
362,704,1000
208,107,661
725,454,480
701,110,678
250,467,294
138,310,1366
220,512,540
524,299,382
543,147,241
123,197,872
281,623,896
564,321,523
338,285,349
763,732,507
368,570,693
416,345,423
280,428,350
148,594,1371
325,247,1058
341,241,887
527,523,583
590,346,639
486,118,365
324,144,424
696,280,865
469,487,420
611,409,724
357,146,321
321,758,730
287,191,910
133,149,1000
236,354,681
475,204,449
544,451,724
191,254,497
1076,332,508
422,420,689
423,403,465
567,323,738
504,521,595
188,260,651
830,422,450
515,233,422
235,348,1096
189,645,723
371,583,1106
405,256,302
493,720,311
340,141,349
366,824,1268
158,176,950
667,202,576
394,531,609
416,399,1071
232,596,311
191,525,416
273,607,437
352,655,288
243,204,608
243,310,342
329,521,318
407,940,948
386,293,373
250,350,783
306,595,385
207,486,613
372,322,680
286,315,814
413,809,429
173,251,629
499,771,626
496,358,591
177,740,712
763,665,884
499,790,292
246,179,428
272,165,578
540,654,613
330,452,215
699,243,347
239,335,515
400,205,659
428,213,564
327,130,173
533,477,610
551,272,375
174,268,580
840,236,547
208,220,292
407,387,490
213,256,1043
984,223,1096
338,190,326
252,363,392
272,444,736
366,157,498
391,535,320
272,261,739
160,569,946
291,330,382
568,500,321
356,648,802
302,357,406
