Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,skewed,vertical
Bars & Pubs,Steak Houses,Casual Dining,Buffet Restaurants
376,920,654,450
683,556,541,530
468,288,1402,630
588,571,300,401
241,258,1046,279
156,349,300,523
300,620,493,499
797,545,418,562
226,1045,1180,687
818,245,372,1012
428,464,1063,738
799,382,1215,683
1305,717,690,437
504,555,312,796
496,243,490,562
1115,635,393,903
482,991,1147,367
1245,640,521,692
606,1114,325,354
582,544,1490,406
635,401,1205,374
524,376,408,898
384,538,805,427
248,153,608,584
999,258,510,348
650,741,326,304
256,390,426,388
502,825,614,670
219,308,1280,357
675,647,708,981
250,660,580,400
1036,319,479,491
670,532,1097,344
480,465,1136,910
909,288,396,1045
440,558,1187,164
368,593,1133,408
397,571,1428,187
297,289,375,351
692,789,702,778
388,435,511,602
763,294,250,438
408,574,805,432
123,295,393,410
462,1046,433,721
835,746,485,657
905,941,830,532
329,404,1013,326
685,515,860,579
280,182,221,403
851,952,464,493
395,431,813,370
175,416,543,297
233,325,481,330
1183,246,1136,306
580,345,591,327
538,368,665,1074
387,146,483,563
395,339,462,336
423,737,755,733
411,568,924,510
280,357,886,463
577,856,512,365
1034,387,638,751
348,749,628,478
234,331,889,487
292,465,263,535
444,1134,1024,204
480,511,1040,196
1162,1096,367,739
423,506,1477,717
404,450,416,839
273,517,220,440
225,577,642,867
171,556,591,476
381,240,701,245
305,728,249,353
214,820,868,732
419,659,539,285
341,217,804,834
280,679,972,505
929,1252,709,741
450,512,604,310
154,784,458,347
467,506,1596,374
447,916,572,593
243,431,449,528
610,523,426,517
228,195,1420,566
502,190,1227,763
380,266,1470,552
521,733,981,216
777,783,1441,190
539,462,978,238
693,502,608,484
278,903,201,179
1502,218,757,401
325,393,663,1210
618,201,254,912
533,711,821,352
746,300,322,614
884,222,863,776
426,193,1596,456
354,473,719,187
1436,278,1279,491
1095,253,336,767
222,367,380,460
553,551,1150,784
613,878,540,585
255,463,933,1143
1295,811,879,410
545,400,399,587
967,307,666,768
661,200,498,320
263,432,644,460
416,418,505,600
212,494,882,447
685,471,518,577
