Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,t,horizontal
Dunvale,Northgate,Westport,Yorkton,Ashford
1102,1083,1159,1760,1251
409,523,771,1218,1505
1534,318,354,891,1858
958,563,1703,1192,721
818,897,1240,1914,1185
1510,786,776,1029,1561
1286,504,1016,1247,1389
801,2022,916,1531,1083
1290,1161,1492,1028,1366
1174,1051,1144,1621,1314
679,446,828,1515,1374
584,1107,1753,859,1582
1408,564,901,1897,870
747,2434,1373,401,1530
773,1165,974,1389,1075
301,959,540,930,873
801,571,1284,760,1152
550,793,1275,1361,1259
902,998,796,766,714
1626,1456,1366,1639,1440
503,1302,1106,1049,959
829,1128,1445,806,1097
1223,597,1020,1138,1169
1420,1229,1910,893,1330
975,533,819,1035,1516
1035,1619,474,602,1139
951,606,880,1585,1051
1398,837,522,1120,1102
1182,935,1051,751,972
1164,1705,323,1243,831
1103,292,1484,825,1491
532,1249,1541,938,689
747,1958,1135,1428,761
1162,939,134,1308,1206
1046,1020,1221,606,1139
1312,324,1924,1428,1125
1121,1001,1021,1387,1503
964,1359,1004,594,1358
1964,1145,523,1671,1361
1327,1068,1269,617,760
1420,963,1269,1202,835
1064,818,866,1274,1001
959,233,1360,125,1171
1383,900,1389,1032,1067
1108,714,826,786,1030
1325,1113,1307,977,1388
1953,1420,1368,1115,920
996,325,634,709,1387
1484,1072,1121,708,1353
1122,1142,1340,262,1198
1529,386,1725,740,1499
953,75,1106,905,994
798,1146,554,1093,1358
1245,1659,1083,1148,708
1140,410,874,938,1497
964,761,689,1262,1151
1540,1232,826,410,906
995,1199,1013,631,1513
1158,1137,1260,1952,1250
1001,1648,959,1051,1174
1477,867,806,1160,1366
563,1159,1193,1431,1016
1346,1235,2021,1373,1652
999,1245,723,1111,544
1327,1424,1451,1251,617
1362,1079,865,1565,1288
1209,1368,835,1205,995
520,1482,1969,1134,1422
737,1151,1617,570,1430
662,2017,1639,860,1018
339,934,1623,931,881
1218,802,966,1471,1292
1062,759,980,1295,1670
1298,589,1341,508,546
380,630,245,1287,1521
653,1251,944,1462,1366
1049,1098,291,1406,1273
1221,1136,829,503,1021
1095,293,664,1283,1834
1580,390,1110,1316,1499
1778,832,457,770,957
1311,741,1084,1102,1114
1344,1014,1171,789,1176
927,1243,1043,1476,1012
1088,1285,993,1620,1651
1178,1099,957,988,1082
1303,1159,819,995,1206
1288,180,1462,1609,1552
1070,941,988,1424,487
1282,329,960,919,1119
1348,706,824,786,1147
1184,735,850,1284,1061
1113,1330,1246,1028,1738
2012,720,887,194,1097
683,657,1258,1069,1422
565,1555,1021,1640,1048
1518,943,1063,1687,1920
1275,974,1128,1710,1049
1232,339,631,1550,1771
974,598,1611,1055,1847
1371,710,692,1050,1424
488,1200,1463,1058,1327
912,559,859,753,1194
1072,1775,674,1411,1548
172,999,1287,1054,1188
1028,956,660,574,1758
1130,897,447,271,1305
784,1431,709,936,995
1306,1068,408,1104,1922
1294,1556,589,1272,1466
1693,138,1054,126,1229
1234,981,485,755,1174
1193,621,399,1522,844
1858,958,692,1144,1352
1577,408,949,940,1440
1275,567,759,1031,1721
