Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,t,vertical
Brookfield,Glenhaven,Fairmont,Pinehaven,Ironwood,Zephyr,Oakridge
1206,1114,622,2077,1648,1467,1119
1198,581,1118,1035,833,1872,921
1001,920,383,2490,1665,1009,960
1678,1609,1019,260,1204,1115,1177
511,1056,588,1263,916,1491,650
492,1327,700,1072,1352,1156,672
1121,697,1011,466,696,226,579
1747,1247,624,1244,366,820,399
401,1293,946,1593,1110,1114,274
915,1007,1265,743,1082,1628,627
870,1275,1380,968,1430,1900,504
696,945,607,1545,1309,1335,388
91,564,716,725,1082,1124,1123
745,1317,856,340,956,1055,1410
915,841,966,1123,513,1561,697
1451,1050,1030,851,1318,1226,765
905,954,700,1575,859,1448,1454
1281,798,293,81,495,1087,1173
1398,910,597,583,1024,1197,154
1065,778,455,1200,992,1441,320
1341,996,1162,1654,698,1705,456
1207,1246,749,1116,546,872,866
1209,869,498,1358,1243,1832,438
897,910,959,1081,1268,1560,1128
1074,1489,818,467,1515,1483,24
679,1068,1118,2236,1207,1495,844
1234,921,1199,1129,1432,1538,523
776,687,903,799,448,1199,978
1105,1126,862,467,964,966,708
266,1189,581,1711,596,1541,348
1488,1359,948,1516,579,1121,636
1715,1147,648,1591,738,1468,1115
1086,1168,796,1104,846,1819,892
1083,1047,835,682,1352,1301,789
812,1074,839,1332,881,1276,625
878,1094,1146,1003,1239,1074,430
846,1318,852,658,834,1301,650
661,1114,530,621,956,1126,691
1446,873,419,1206,1145,1736,806
895,1290,1054,1407,953,1594,879
1043,949,704,1109,803,932,794
968,931,529,2035,1070,875,963
739,828,41,787,1091,1739,1286
832,767,1084,884,936,1119,687
742,909,799,1164,934,1150,324
884,716,625,939,1095,1668,849
908,858,662,782,686,1482,833
1328,992,831,1296,751,895,748
1731,1464,578,1656,264,1368,1022
1292,902,836,747,1241,1209,531
756,1224,441,1327,623,609,938
1422,764,571,1942,539,1134,824
1212,1329,848,1014,664,1119,1144
48,1033,465,1023,561,1241,808
650,557,391,878,457,1139,901
901,1297,1124,855,1249,1399,548
961,1177,1082,670,922,720,1063
1249,938,296,1957,1028,1152,312
1034,431,472,1519,1240,669,607
904,1236,883,1080,1169,1244,931
814,813,428,1141,742,1188,644
557,322,764,1954,1103,1340,742
1587,837,881,1179,1300,1685,883
1273,385,1275,1262,590,1343,231
1533,1563,748,423,1294,731,576
246,1198,1177,737,1258,1003,959
1122,1110,794,987,1069,1250,691
1468,1019,277,1345,1130,1316,1088
1059,1285,702,1366,962,2149,804
1128,1082,458,931,976,940,806
1269,1619,658,1053,686,1413,377
632,1078,909,598,1266,1276,1308
1483,1279,627,1359,582,1160,630
862,777,707,1536,1584,1194,1089
1236,1315,1056,1299,610,1510,901
568,1232,909,1647,732,1314,591
743,1060,1131,798,1479,1254,1034
1129,1026,533,949,770,1367,682
763,1026,408,1144,661,699,1556
994,1141,757,785,688,1352,954
1005,1171,331,949,909,1384,576
1371,1205,526,1605,809,810,183
482,1228,1156,1300,1342,1298,524
1582,1024,864,1248,1599,1780,708
1912,1214,967,2061,1253,1382,1083
805,1020,932,1932,866,1232,962
959,1093,371,1761,802,1356,1231
1903,1218,833,1356,1256,1114,850
887,1114,425,951,462,1482,506
814,853,835,771,1145,1229,945
939,1014,977,1926,997,1337,743
1246,1444,1159,1470,1198,1160,1078
734,1009,770,1229,483,882,784
1250,1094,871,633,78,1588,1199
1025,1206,1228,691,831,1201,1559
1090,1673,73,962,1277,1341,983
1680,556,681,972,737,1068,1259
859,923,938,2275,511,1431,584
1092,1056,484,1371,1600,1426,900
709,1068,656,1067,1270,900,1466
1468,812,944,2247,1706,1202,756
1095,1617,895,659,908,1440,1397
1177,1147,870,904,1239,1667,732
579,722,697,373,1509,1116,764
1262,1253,606,1663,1075,1652,737
1233,1143,814,591,208,1314,953
935,1334,980,408,1109,1098,597
950,1206,1104,1373,337,930,653
1780,1170,558,545,581,1665,859
1031,1101,727,936,851,1076,1033
1040,818,1019,1154,1245,1127,1278
1638,1081,918,707,504,1355,735
1240,1052,563,1284,1164,1137,990
953,453,446,1198,1215,1050,623
1023,631,1120,1204,1178,1328,953
