Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Highvale,Glenhaven,Springfield,Yorkton
938,927,1007,1095
1213,1046,1485,520
1203,734,1476,891
1423,591,532,856
1134,744,1072,731
746,762,1064,1041
1152,806,1338,1004
882,448,1173,691
1593,1373,870,614
1187,727,1048,1378
1091,706,1259,1281
1319,1167,1550,843
729,1035,1147,1045
1305,1225,911,415
980,605,1169,836
1243,723,1482,1017
741,982,914,1416
1470,762,1219,1177
1101,1229,1251,313
1183,1354,1115,809
1039,1066,1077,544
794,988,999,1058
644,869,1383,743
1431,736,1550,904
953,915,1153,908
790,962,985,452
1424,875,1042,832
1091,912,1030,990
875,938,1118,446
849,1287,1365,886
1038,730,1013,672
1034,290,1529,513
934,675,523,781
787,829,856,731
1344,966,948,865
1010,511,1100,1162
1034,473,1256,431
791,1018,811,1445
953,521,1096,1192
974,679,1285,191
1034,493,1178,727
1152,785,618,997
993,683,649,1005
1072,888,1137,677
968,1266,557,774
1160,720,863,715
1266,1072,1077,1118
1218,638,1109,784
980,1380,1460,1001
1172,1228,1238,1149
884,430,1029,1053
738,1092,1182,1291
801,812,1384,1295
1042,728,742,1165
945,351,981,1337
1307,974,1450,845
1349,1164,838,435
1132,618,1059,1205
1609,1224,1125,1098
1340,841,1111,210
1245,889,1324,1069
1266,1207,1405,851
1383,997,1383,835
1387,564,1105,1090
778,794,1048,1032
994,651,888,821
552,889,928,938
1242,1285,1106,148
787,1332,936,1105
1125,865,830,248
795,709,1361,864
1145,1159,964,1037
972,1006,1077,1200
884,394,832,688
53,738,983,600
1258,904,1198,961
847,511,1306,938
1240,698,1242,343
1253,282,862,641
1079,788,1005,763
1473,930,573,1276
1697,974,1346,621
691,1299,1188,1052
1209,639,1036,998
1181,866,1052,1056
1250,1103,1048,864
720,900,937,1025
1239,706,1174,1005
1191,761,1140,737
704,710,1183,747
640,1071,777,582
919,1183,1074,1085
879,741,1465,847
1220,473,1203,600
965,893,929,791
1224,1098,1069,903
1354,642,786,1247
1486,901,1137,451
1419,317,745,982
1460,562,1124,843
1473,895,1182,742
461,750,1201,1434
752,1151,1200,1089
843,1167,966,1361
756,768,975,693
1491,677,872,1216
1835,580,979,1094
1060,1031,942,990
1179,696,1020,729
416,612,1197,914
1334,987,1192,643
1264,1389,922,828
1736,1051,665,750
1037,806,1141,901
1245,827,1416,957
1080,732,912,1190
1591,663,1120,526
1064,782,1066,902
