Healthcare and Health,Statistics on daily outpatient visits in different cities,Number,normal,vertical
Fairmont,Quarryville
997,1088
1539,554
1681,1133
1428,866
1749,248
1219,1174
1136,798
1085,787
1232,285
1861,609
1155,538
1520,1097
1157,887
1060,979
701,1047
1356,1034
1109,930
1398,944
1541,1382
1395,848
1193,975
1135,658
1328,722
905,899
1447,789
1485,802
1534,672
792,634
1120,820
767,617
1746,1133
1340,946
612,568
1011,1163
1673,675
1050,859
1632,921
1050,1016
897,903
1692,562
910,764
1466,939
1639,1079
1069,1134
1073,661
1866,1147
1595,1150
1363,758
845,760
837,761
975,607
1456,569
1253,986
939,1104
1121,627
1450,865
907,790
1065,1085
826,963
941,989
951,1051
907,394
1394,1506
1140,1162
1380,1072
752,845
212,834
936,515
504,1037
980,1164
925,980
1492,904
577,1333
1173,1542
1910,528
1319,980
1058,1269
1065,645
990,921
1086,677
992,328
790,1049
1117,876
1123,955
1029,1023
902,1176
965,817
1376,1014
899,370
799,1018
1030,777
465,1179
1350,605
1163,976
1295,1415
1152,837
1277,1077
1788,767
1395,1179
1485,1235
1354,679
1409,1003
1143,873
841,822
1564,959
532,933
1170,1001
1217,842
717,661
1513,462
1589,1431
1583,1049
1073,685
1109,750
899,1093
1227,888
698,1179
1013,922
