Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,vertical
Zephyr,Highvale,Pinehaven,Springfield,Fairmont
46558,31937,31783,59078,41067
45981,47009,33872,26385,53237
57936,41579,43059,34251,41986
56981,45136,38378,57398,30267
67249,43426,46542,36382,41040
51066,31439,26120,36108,37917
60130,34296,43693,46499,44319
71791,48613,33410,39904,37522
61812,30011,18037,45135,46491
68095,38268,56483,62611,28355
37864,33888,50599,40419,25643
56393,39021,45410,46711,35690
66569,45732,40686,48230,44028
65519,19348,57903,55582,46668
59532,60783,52460,54339,38365
42807,41665,28412,50534,40746
46362,26601,36841,35758,29006
76604,32530,34915,43939,39010
66578,27583,37370,21910,49661
55865,37737,39522,44439,48651
60120,47904,30004,49667,40365
49825,31379,47174,47989,39955
66701,45102,32616,35684,36044
66572,45250,50888,54422,32443
55426,49984,55888,32095,35648
45751,34135,29415,35833,39532
68990,28871,40141,50348,43352
71802,49486,45710,54060,41923
59346,53096,39958,42855,45249
56622,53347,41158,39722,40281
51844,47530,36575,62753,42266
40780,38611,31701,49297,19262
53762,42940,42464,48073,43855
48014,16086,34250,47051,40197
52893,48121,55788,41944,30647
59910,60889,37910,49873,36435
62152,31394,45932,50490,54788
40205,36123,53571,54293,46655
46078,41836,25717,35129,39412
54208,29494,53519,42698,45659
52411,43401,34498,49707,26646
65345,53758,33959,66155,53992
51184,36759,27123,59571,30530
50466,51069,40937,61762,41846
72266,32826,42358,56671,45425
71459,40751,34403,14228,31563
52407,31396,29367,46768,35719
60090,51464,39671,41063,29614
65900,38512,48941,39657,41546
49216,27422,61325,52725,47891
53637,38993,33803,44332,37641
63012,26596,48770,66560,38038
66034,31453,33820,51695,34665
58717,59380,40427,52725,30297
46618,43640,40999,51890,40856
54793,51620,29623,68753,37058
66977,49012,61021,39855,42410
65162,40513,42517,36027,46491
58981,20990,34615,55950,48444
53290,40700,28348,45406,47616
75474,19371,28918,52958,47861
58203,45718,40914,41838,39362
52658,38371,47098,53455,37702
74471,55668,35775,55321,36360
68332,30732,42244,44287,36585
51058,56914,31526,39705,36121
66596,34108,40303,57120,35112
54946,44622,32509,45808,45598
50735,45435,30596,49536,42227
62770,51558,40073,58396,39890
58359,57370,35319,51489,50434
70928,40126,40169,31796,35890
54902,60135,24765,36865,51980
79137,49016,34121,63085,39965
72395,55342,39281,44682,49337
58724,35019,40839,40633,47390
74630,38446,53657,42314,42423
61196,57207,42468,46829,41653
71385,45838,39757,48375,36468
50637,59831,50457,50811,52411
63298,39634,44468,37413,56974
56548,49717,51457,63233,54374
62107,59076,45128,38157,42127
66312,52519,44994,37257,38254
53166,45366,31802,30431,43161
52587,43084,43751,53129,46169
47283,48860,29096,37964,20424
67003,51924,34316,31516,47951
68531,34716,43371,35435,38182
35078,22122,46586,60559,48852
50487,43031,44302,51395,39917
48740,46844,54209,34858,42806
67117,32513,22865,46863,25176
45768,43775,42587,54902,36547
60675,39476,48679,57598,39730
62587,41567,42797,44981,47668
47245,39370,43999,32750,43438
56083,57870,30075,62115,43139
41526,36783,37187,55760,47770
45503,36091,54959,51714,27339
57514,45669,43690,53052,40881
64108,45542,26206,56204,34323
49516,33770,44739,61739,19337
50189,25437,51781,41389,27219
54811,45992,47536,63190,32324
55343,22232,41266,57312,37572
69532,33766,39475,63271,19029
65731,25069,40392,51209,49765
54430,47381,40642,52175,37091
53080,33517,23398,58282,42928
63891,46044,38414,44923,27778
35878,39662,37543,51847,39278
53906,41973,50303,43743,32603
61153,57829,40965,50187,39793
59784,41747,40933,41590,42123
36406,49062,48357,41804,45360
64431,53565,47863,54893,42428
64099,39821,49784,57881,47972
