Human Resources and Employee Management,Salary of Employees in Different Cities,USD,skewed,vertical
Highvale,Brookfield,Northgate,Glenhaven,Fairmont,Elmhurst,Ironwood
49906,117492,48724,46820,85674,65768,32886
93600,34072,78473,55900,96724,48015,56506
74853,34086,67044,83198,95564,81759,61828
83941,32072,66950,84709,45312,23233,61562
35388,56550,32751,47995,33095,50763,119727
80893,37670,74311,31016,47134,25287,90743
85034,55867,37665,30608,41250,65283,37584
44230,51940,55776,31227,38097,36502,54814
42118,75427,108157,31626,51232,65718,65289
39903,25269,41817,59786,54920,58777,85553
80335,53522,35215,22901,93773,92579,49877
41692,27711,50735,54739,61900,76471,94306
53021,59301,71159,50236,28091,44936,51647
68407,40680,87735,70497,47274,86842,99297
67012,109540,112219,44984,52273,47899,61170
53459,102174,64427,71344,43864,87782,51120
68503,31049,23070,63617,69120,38278,103530
68613,34745,41236,66666,67547,91504,63480
31321,46771,47264,26787,56746,67996,39481
74424,39246,72387,27682,83045,57824,72823
50258,63925,29102,43088,107540,88276,82039
60450,40418,40029,54365,45928,119389,74396
78613,46939,91937,51474,81354,74572,75262
36991,97015,27016,36553,50769,26079,81670
48919,91841,44664,31142,67300,64660,56020
33820,69429,48625,29014,64707,47460,81635
62487,34705,47588,31789,69526,49946,65764
58655,79382,52859,32460,45073,67570,51294
39070,41134,27686,88453,60115,45021,34043
31587,54053,57700,48843,79910,21614,57064
68254,73512,72200,70111,124770,57848,132376
63739,58844,58386,39774,83579,67444,42037
28555,96033,49518,39512,41728,50290,78363
44138,42191,31193,83027,61906,44304,36903
77059,64942,28321,83568,40304,27987,107574
33737,71662,41225,50978,38897,23430,41281
43656,49838,57452,54085,42134,42610,91286
99446,79302,66594,36410,34723,37423,63905
54754,75951,78397,67295,98652,40533,34464
82710,64988,58500,24147,95419,21854,53196
51187,68326,59751,27538,25553,88392,120519
39884,64874,31214,46055,32519,54964,73107
61884,72499,46638,37734,60101,42940,33589
36385,95841,47544,49007,50768,118585,114880
43442,44493,24186,35440,40640,49310,57402
35187,45360,68545,72081,59622,53490,37757
31274,38514,35540,55048,38322,44608,61773
36379,86878,86320,35724,64722,58108,80731
57348,132077,36868,31507,77956,105479,26204
59354,48624,69864,40314,57283,46817,61987
35669,43466,87874,41916,37772,41341,43553
35918,86549,27072,72721,62170,68825,44401
44330,128406,42177,63669,40740,74078,78496
62165,83568,30861,74358,77296,61202,74226
45237,39426,36848,61383,99992,64461,66257
35276,28701,56751,88939,70941,70800,89772
82436,76514,36989,52488,54778,94671,41149
37521,42223,42103,89913,74620,35943,50397
31447,23630,69146,73180,36276,117612,53282
28166,38326,90409,25343,32326,31497,53354
30142,55113,30091,41110,63628,58230,51074
48856,47587,103631,31346,62140,37146,62041
27457,60039,26569,23607,53482,43162,50419
39719,82018,62914,53702,43403,25529,73573
55319,37607,45817,51749,40181,141395,71040
38301,76128,61093,31419,36745,25434,152343
25259,123029,44222,56600,53864,26916,47688
62073,57336,58514,56469,48744,26162,33284
42050,41161,31487,49986,73608,60716,40504
58246,50916,25350,54576,69090,36100,43569
28793,90759,62790,31604,54957,29105,21974
30412,44565,44890,37366,98522,73995,56639
57282,58156,43103,76332,106378,36129,71440
53558,47903,72967,64026,91785,66290,31948
60349,92699,37005,32040,64852,44326,77119
28995,98795,51915,36961,91918,57711,67678
54649,43313,82987,46693,64714,47940,49336
24694,29316,82773,33783,51090,50237,89925
37708,66357,63962,73499,82057,38995,80581
46602,108919,103779,66068,68138,27068,41215
69289,72744,34848,46760,67271,38485,45555
27103,111341,157602,45078,44545,92466,120989
58965,100616,40625,47672,53719,74960,65642
47252,53046,92555,55771,87897,35947,59514
23393,61792,35761,33147,50120,30044,75470
49871,42395,42925,26394,81950,51597,30778
67247,34993,77282,40956,49324,96853,27736
54037,106005,64478,52463,73785,79440,70156
52798,37780,53103,35242,71180,51605,126179
41599,73223,20904,66734,66758,43199,54131
74639,43782,97671,75630,37843,44396,70641
47019,60812,96416,42343,91570,71408,89801
44501,65795,99221,29058,82120,43235,104891
35899,111949,43034,42373,49066,44783,38955
74755,74158,69703,69337,57879,33939,49610
38236,57864,49141,64547,101433,29684,89246
47582,38070,38235,31914,46722,86080,91814
47328,41857,92710,21733,60035,30512,40697
43423,28458,33357,82265,46349,32066,54967
36503,65140,63269,31034,117912,64839,51235
82090,53169,65116,32643,69552,79267,97497
70966,37715,35117,75831,54802,56469,97032
41847,68049,49877,30450,77911,25683,46274
49585,45058,105403,42608,67858,62353,60530
85305,51721,158294,28369,47465,51304,37223
43260,68715,122012,63953,53506,46332,67822
52265,61751,53702,54743,48608,63052,36855
96514,56504,28846,32271,65745,27158,28214
33155,123615,43707,29210,66539,35679,60624
30760,33537,36252,49198,41353,77844,55066
93511,40237,26255,35783,42986,43214,54054
52050,69927,88018,45416,55301,33166,47757
45048,53346,80853,34122,26004,69709,90306
55827,41777,59630,36395,46205,60559,45035
41733,87890,35717,29723,26469,125144,46470
29461,57033,47429,34487,68075,69877,66473
41483,89071,39043,46879,78554,105457,57107
47133,83445,39146,27169,39857,48742,37067
