Real Estate and Housing Market,Virtual Housing Prices by Property Type,thousand USD,skewed,vertical
Single Family,Co-op,Apartment,Triplex,Condo,Beach House
370,977,475,541,462,497
966,757,533,414,408,608
709,1066,1276,713,497,781
668,485,848,606,1013,1155
713,676,533,1398,688,502
634,891,955,549,394,539
542,581,940,1133,643,771
738,543,938,891,726,812
493,402,741,355,357,1168
481,468,628,774,1122,977
697,794,1283,308,941,849
904,351,709,475,548,1069
412,752,401,365,834,323
545,426,1125,1315,395,406
420,332,1009,561,432,585
701,762,406,460,485,370
595,1230,1078,332,450,838
678,791,720,415,463,468
680,427,498,1336,419,1011
465,443,420,629,662,516
541,581,1010,354,585,615
660,755,789,578,881,1364
828,307,861,374,550,759
834,498,500,582,737,432
585,419,483,670,915,515
603,794,552,644,1086,331
425,379,625,484,555,626
339,538,322,531,473,452
868,1188,749,512,878,352
857,1334,371,650,388,898
888,825,450,391,561,511
866,412,857,783,352,709
593,981,817,847,566,339
699,1058,661,919,671,768
806,421,470,612,443,460
623,395,839,631,1124,338
473,365,657,382,639,669
911,342,797,569,1206,615
463,310,579,853,423,491
766,800,332,769,555,353
324,732,494,1005,920,492
632,358,529,986,782,433
523,450,666,361,656,569
824,796,761,544,548,641
694,531,564,343,831,1051
475,566,351,708,358,436
677,653,891,578,544,719
685,413,1146,870,463,639
761,401,476,644,503,369
484,390,1301,987,703,760
580,338,871,1377,488,465
486,677,312,529,774,1189
970,428,564,479,632,728
508,551,697,838,559,762
521,872,569,508,582,376
443,604,1035,450,589,357
388,1009,482,421,1214,371
1019,821,690,649,482,504
400,1063,651,701,579,526
500,1344,627,421,835,565
468,741,647,629,735,470
821,359,517,1098,456,846
680,576,717,485,550,615
526,332,590,696,619,585
393,692,434,487,455,391
451,885,510,427,841,448
912,662,446,588,1087,493
434,976,969,341,918,497
489,714,887,611,1292,314
818,742,393,728,516,329
615,393,1115,901,355,719
591,550,767,651,747,1024
512,310,397,456,455,299
459,1150,376,407,867,808
363,383,314,773,603,1062
869,760,991,388,815,645
1241,368,674,784,759,763
361,689,655,942,475,760
451,476,1160,1205,618,568
509,1320,894,894,718,479
507,697,778,669,869,503
605,717,1045,431,373,495
610,871,755,795,438,398
489,723,945,871,1029,662
479,513,1010,703,737,861
1406,1049,489,1046,389,812
463,434,663,924,326,320
760,412,568,1135,1134,674
552,773,434,447,528,332
370,1102,1082,648,640,450
460,901,524,647,719,546
588,438,487,545,509,527
1178,438,789,462,601,667
1299,1162,885,1384,1136,402
611,561,685,1442,576,516
367,1255,808,1292,423,1001
440,454,484,462,705,1008
520,749,854,800,742,478
1089,355,403,431,1138,536
906,609,441,480,958,788
621,980,415,556,557,412
438,635,631,413,358,398
1001,334,591,672,1280,448
786,556,573,771,379,444
485,442,905,342,912,449
782,1316,685,805,339,703
827,1344,1013,659,1251,391
681,702,540,768,850,654
610,883,597,1020,439,363
472,517,1182,1025,551,555
500,1048,783,685,1201,642
613,538,418,927,545,910
407,619,1247,500,828,717
600,1132,707,1965,852,1167
1068,1029,897,430,555,827
656,469,631,557,609,495
481,515,621,518,525,621
524,739,483,605,720,947
