Retail and E-commerce,Daily sales statistics by product category,thousand USD,normal,vertical
Electronics,Jewelry
260,223
294,302
168,342
398,317
337,239
274,256
208,112
286,252
259,239
373,268
305,335
288,275
418,177
357,382
241,175
270,241
263,334
378,344
320,230
304,187
392,337
207,87
314,239
249,217
254,258
308,262
349,319
283,277
311,236
392,311
364,226
167,250
244,292
247,183
118,286
225,227
288,246
344,320
188,312
335,234
230,326
198,303
356,309
166,304
135,295
375,223
175,124
349,374
392,208
275,226
279,250
371,316
337,252
341,280
392,360
335,289
357,116
360,284
195,333
290,324
300,213
477,231
225,232
338,231
391,174
108,326
259,315
257,302
276,276
357,272
280,374
324,197
422,320
375,256
279,277
141,262
374,286
238,321
247,257
404,341
205,298
218,271
302,380
316,284
309,338
319,348
335,275
280,209
413,275
252,234
385,369
312,207
194,289
335,182
293,253
337,269
383,232
241,358
181,339
217,328
397,302
259,341
343,293
391,274
391,209
385,288
370,213
380,364
406,346
359,304
156,350
180,272
296,137
385,294
418,215
274,303
297,249
412,275
