Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,skewed
Soybeans,Corn,Rye,Hemp
3332,4827,6707,4993
5090,2303,7801,6385
12782,5947,5321,5343
6903,5382,15332,3172
13674,9985,4576,5712
12601,3170,8665,4418
5831,9145,3472,5940
8810,7787,5052,5710
4589,5478,5386,7771
13860,7193,3422,7492
4595,3570,11671,8798
10590,6337,5989,5429
4765,5843,7276,8061
3759,3934,4023,4244
8911,3555,7963,11817
6507,3891,14111,5676
7430,6812,5373,6576
10208,4539,5029,11059
6998,8476,7516,10425
6507,7880,5524,8581
7354,2532,5344,3280
4690,3122,15071,5827
7392,6222,10312,5851
7633,7590,5027,2990
9152,7453,10640,4919
6537,5273,9838,7155
7317,3796,8385,6526
6129,7302,7484,4273
11842,6679,3332,6564
12015,5385,10692,2808
6692,4772,11187,4854
14249,9879,4003,5009
3942,4345,7396,3048
7413,7814,6023,4317
8780,2120,6207,5173
11968,6973,7276,9036
10338,3240,5320,3713
6111,4664,5607,7682
9723,4530,7205,6558
4580,5865,6689,2472
4775,5765,7891,4310
5721,5163,7708,6834
7315,5648,14326,3468
7391,3231,5600,5617
5874,2782,6660,4203
3659,4027,10030,3399
6791,4284,5657,2579
4712,3362,7018,3962
3776,4498,7200,10369
8635,4719,10891,3948
9369,4631,12618,3046
8609,9176,4531,3525
6212,6603,5482,4603
13223,5479,5022,5626
5081,5176,10414,3214
8837,7727,9616,3119
6278,4347,12101,5166
4227,2933,4256,6350
7880,6013,7825,7403
6259,3982,6738,6769
6281,5202,3348,8276
9471,5737,10260,6103
9190,7982,9199,5580
4765,5079,10691,6405
3978,3039,4355,9373
6334,5641,12898,4573
10736,5458,7272,5110
8024,2620,5308,6034
5213,3199,9329,9440
6228,4849,5985,5740
5837,8356,4005,3264
5820,5315,4360,7249
5564,3232,9629,5053
5369,6644,7521,5440
10983,8890,9383,4994
13487,3208,9007,4769
6909,4263,5937,3006
6608,3772,6523,3706
6719,4259,4636,6415
11222,5406,7348,4238
3742,3079,16062,6200
7106,3885,8331,6565
10164,6843,14598,3429
8317,8237,6739,2958
3409,5556,10523,3378
10859,5120,5262,6132
13500,2882,8413,5384
12034,4302,8150,3761
6739,5368,6310,6873
12687,5365,7063,7986
8706,4636,5568,3385
8721,3463,5309,3488
3937,6123,9017,3546
5320,3462,6066,5362
4839,2454,5137,6516
7425,4062,12485,7014
4488,3809,4999,3613
9670,2259,5230,6236
7519,4195,16530,4441
6946,4148,6236,3852
7171,7897,5127,4935
11615,3052,3767,8931
7869,3771,5540,4381
11023,3009,11515,6467
3770,3550,3886,3787
4515,3873,14171,2626
9852,3903,3803,8908
3190,4742,4244,9409
10652,4547,4757,4295
9133,7655,6698,2877
13653,5144,14749,6799
11350,2918,4154,3221
7590,6105,12567,2558
10833,4848,9393,3599
6412,7876,8845,5357
3648,4685,11637,7841
6504,4689,6077,4567
6635,4234,7045,8334
