Cultural Trends and Influences,the Relationship of Cultural Trends and Influences,Normal
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
38.59,167405863.42,43478.39
8.08,587515995.61,100000.0
3.93,426818996.91,59168.45
78.9,1971222.88,44381.57
87.19,13665704.55,68730.78
22.06,568987272.83,64649.34
34.32,917626768.82,47268.4
97.21,227658676.68,7622.04
29.33,461981242.82,17668.89
86.06,100168432.53,100.0
49.11,251493504.37,40893.59
89.87,651156092.98,88321.12
45.59,283455566.69,22735.56
74.34,152436425.24,68676.51
