Cultural Trends and Influences,the Influence of Cultural Trends and Influences,Normal
Artist popularity rank (rank),Commercial impact value ($),Number of people involved/influenced (count)
27.53,740284935.93,91341.78
34.87,694372921.03,90655.28
60.88,58269279.85,8316.1
83.42,123807320.57,41761.68
32.49,982072907.62,10474.28
39.34,420576388.07,77934.96
52.56,78623052.37,52201.29
94.98,806128141.65,20128.6
95.05,531182893.75,27216.93
63.55,769165936.39,100.0
33.52,219606735.02,18703.02
86.86,825026804.91,44434.44
77.88,901128851.0,30206.36
40.07,379675818.22,100000.0
85.07,10000.0,47297.85
