Science and Engineering,the Influence of Science and Engineering,Long Tail
Innovation score (score),Commercial success value ($),Total project budget ($)
4.23,88162878.66,317887.98
1.56,8935956.46,5000000.0
8.82,25686368.64,391288.03
7.67,12487117.66,1200495.09
2.38,91868678.31,150235.09
7.75,67505262.24,322729.4
9.19,82438942.83,733114.25
3.33,58117489.34,1964059.11
7.75,34027904.98,94861.43
5.5,56889494.6,995058.44
4.32,87464899.68,245181.97
9.05,68980145.57,50000.0
3.52,66824516.23,278700.25
6.58,54175280.72,1046311.24
