Social Media and Digital Media and Streaming,the Interaction of Social Media and Digital Media and Streaming,Random
Ad spend ($),Conversion rate (%),Total number of subscribers (count)
29466.79,1.96,1000.0
65211.63,1.68,71834.3
12163.4,8.96,8449360.41
73477.94,0.34,5144556.68
36359.39,4.68,2172064.73
2949.41,9.38,7915805.78
18744.0,0.3,4336546.02
47226.5,4.49,7173129.95
23272.61,6.36,10000000.0
75287.87,6.97,3148549.57
14895.81,3.06,5221518.39
94301.21,9.98,3623994.72
22923.74,6.41,6774292.87
100.0,4.95,4606722.57
