Sports and Entertainment,the Comparison of Sports and Entertainment,Normal
Sponsorship amount ($),Revenue ($),Number of viewers (count)
824714.34,879407221.9,1579142.13
498326.28,250113302.12,5503520.84
8083604.43,358623952.47,2764439.67
4589262.94,558643247.89,1074706.54
2133203.95,1014747878.25,4018698.07
3699284.49,943859454.57,1545264.52
6570267.76,741654807.87,3067264.04
4838544.23,104056132.31,10000.0
8268729.52,293282095.36,10000000.0
1474675.44,838945072.34,9836830.44
1045699.13,753230227.99,1561581.92
