Sports and Entertainment,the Influence of Sports and Entertainment,Random
Player salary ($),Win rate (%),Number of people attending the game (attendees)
30414057.8,40.62,16389.74
12358903.54,92.39,91089.39
39828785.04,46.76,84510.33
1965955.46,2.11,1000.0
1032037.5,37.67,92299.49
47576338.96,70.46,100000.0
16454326.35,22.36,5406.36
12347477.04,15.33,56870.64
47275477.81,80.3,21577.09
342992.76,4.93,41441.95
44510308.46,4.96,55409.78
28230954.55,77.13,24289.27
25184859.12,63.6,43959.96
32598892.73,70.25,61804.59
40088765.64,88.61,30340.09
