Sports and Entertainment, Basketball Team Fans Migration, Thousand Fans, random
Source,Target,Value
Edwardsborough Bulls,Poolechester Dynasty,111
Poolechester Dynasty,Edwardsborough Bulls,352
Bensonborough Storm,Poolechester Dynasty,346
Poolechester Dynasty,Bensonborough Storm,487
Edwardsborough Bulls,East Rovers,138
East Rovers,Edwardsborough Bulls,517
South Stars,Poolechester Dynasty,289
Poolechester Dynasty,South Stars,489
Edwardsborough Bulls,South Stars,226
South Stars,Edwardsborough Bulls,344
Edwardsborough Bulls,Bensonborough Storm,544
Bensonborough Storm,Edwardsborough Bulls,560
