Healthcare and Health, Medical Referral Flow, Patients, random
Source,Target,Value
Rehabilitation Center,Rural Township Clinic,243
Rural Township Clinic,Rehabilitation Center,53
Rehabilitation Center,Tertiary General Hospital,179
Tertiary General Hospital,Rehabilitation Center,263
Rehabilitation Center,Geriatric Care Hospital,615
Geriatric Care Hospital,Rehabilitation Center,270
Tertiary General Hospital,Rural Township Clinic,101
Rural Township Clinic,Tertiary General Hospital,315
Geriatric Care Hospital,Rural Township Clinic,351
Rural Township Clinic,Geriatric Care Hospital,231
