Human Resources and Employee Management, HR Department Flow, Employees, linear
Source,Target,Value
Human Resources Department,Marketing Department,580
Marketing Department,Human Resources Department,504
Marketing Department,IT Department,514
IT Department,Marketing Department,470
Admin and Facilities,Marketing Department,413
Marketing Department,Admin and Facilities,404
Legal Department,Marketing Department,362
Marketing Department,Legal Department,300
Human Resources Department,Admin and Facilities,264
Admin and Facilities,Human Resources Department,236
Admin and Facilities,IT Department,203
IT Department,Admin and Facilities,176
