Real Estate and Housing Market,the Distribution of Real Estate and Housing Market,10x10,horizontal_gradient
Commercial,Affordability,0.1
Construction,Affordability,0.16
Development,Affordability,0.28
Industrial,Affordability,0.36
Land,Affordability,0.42
Mortgages,Affordability,0.52
Property Management,Affordability,0.57
REITs,Affordability,0.69
Rental,Affordability,0.75
Residential,Affordability,0.84
Commercial,Age,0.14
Construction,Age,0.19
Development,Age,0.31
Industrial,Age,0.35
Land,Age,0.45
Mortgages,Age,0.5
Property Management,Age,0.61
REITs,Age,0.67
Rental,Age,0.75
Residential,Age,0.81
Commercial,Condition,0.1
Construction,Condition,0.2
Development,Condition,0.26
Industrial,Condition,0.36
Land,Condition,0.4
Mortgages,Condition,0.53
Property Management,Condition,0.59
REITs,Condition,0.68
Rental,Condition,0.8
Residential,Condition,0.87
Commercial,Demand,0.13
Construction,Demand,0.18
Development,Demand,0.26
Industrial,Demand,0.4
Land,Demand,0.44
Mortgages,Demand,0.56
Property Management,Demand,0.58
REITs,Demand,0.68
Rental,Demand,0.74
Residential,Demand,0.79
Commercial,Interest Rates,0.14
Construction,Interest Rates,0.21
Development,Interest Rates,0.28
Industrial,Interest Rates,0.34
Land,Interest Rates,0.45
Mortgages,Interest Rates,0.51
Property Management,Interest Rates,0.6
REITs,Interest Rates,0.66
Rental,Interest Rates,0.78
Residential,Interest Rates,0.86
Commercial,Inventory,0.09
Construction,Inventory,0.22
Development,Inventory,0.27
Industrial,Inventory,0.34
Land,Inventory,0.42
Mortgages,Inventory,0.48
Property Management,Inventory,0.61
REITs,Inventory,0.65
Rental,Inventory,0.79
Residential,Inventory,0.81
Commercial,Location,0.13
Construction,Location,0.23
Development,Location,0.26
Industrial,Location,0.41
Land,Location,0.44
Mortgages,Location,0.57
Property Management,Location,0.59
REITs,Location,0.67
Rental,Location,0.75
Residential,Location,0.82
Commercial,Market Trends,0.11
Construction,Market Trends,0.19
Development,Market Trends,0.3
Industrial,Market Trends,0.36
Land,Market Trends,0.45
Mortgages,Market Trends,0.52
Property Management,Market Trends,0.63
REITs,Market Trends,0.69
Rental,Market Trends,0.8
Residential,Market Trends,0.82
Commercial,Price,0.14
Construction,Price,0.22
Development,Price,0.26
Industrial,Price,0.39
Land,Price,0.42
Mortgages,Price,0.52
Property Management,Price,0.58
REITs,Price,0.7
Rental,Price,0.79
Residential,Price,0.84
Commercial,Size,0.15
Construction,Size,0.17
Development,Size,0.29
Industrial,Size,0.35
Land,Size,0.45
Mortgages,Size,0.57
Property Management,Size,0.62
REITs,Size,0.67
Rental,Size,0.75
Residential,Size,0.83
