Education and Academics,Research Funding,$
Year,Celestial College,Silverhaven Polytechnic,Borealis Graduate School,Zenith Institute of Technology,Aethelgard School of Arts,Arcane University,Meridian Academy
trend,single_peak,exponential_falling,bimodal_peak,single_valley,stable_falling,periodic_stable,volatile_rising
2001,682532.1,500000.0,887438.34,317467.9,500000.0,500000.0,570385.92
2002,727449.0,450000.0,950432.62,272551.0,515000.0,618882.06,610385.92
2003,772305.89,405000.0,1008316.16,227694.11,530000.0,573473.16,650385.92
2004,813226.33,364500.0,1057532.1,186773.67,545000.0,426526.84,690385.92
2005,846168.63,328050.0,1095023.5,153831.37,560000.0,381117.94,730385.92
2006,867574.5,295245.0,1118474.52,132425.5,575000.0,500000.0,770385.92
2007,875000.0,265720.5,1126452.66,125000.0,590000.0,618882.06,810385.92
2008,867574.5,239148.45,1118474.52,132425.5,605000.0,573473.16,850385.92
2009,846168.63,215233.61,1095023.5,153831.37,620000.0,426526.84,890385.92
2010,813226.33,193710.24,1057532.1,186773.67,635000.0,381117.94,930385.92
2011,772305.89,174339.22,1008316.16,227694.11,650000.0,500000.0,970385.92
2012,727449.0,156905.3,950432.62,272551.0,665000.0,618882.06,1010385.92
2013,682532.1,141214.77,887438.34,317467.9,680000.0,573473.16,1050385.92
