Energy and Utilities,Carbon Emissions,tons
Year,Meridian Gas & Electric,AquaFlow Utilities,Zephyr Waste Solutions,Stellar Grid Solutions,Borealis Renewables,Solara Energy Corp,TerraGen Power
trend,periodic_stable,bimodal_peak,exponential_rising,volatile_falling,exponential_falling,single_valley,single_peak
1952,5000000.0,7850736.84,5000000.0,5000000.0,5430545.33,3957360.12,6042639.88
1953,6188820.65,8342768.65,5500000.0,4700000.0,4930545.33,3592583.38,6407416.62
1954,5734731.57,8795142.36,6050000.0,4400000.0,4480545.33,3174679.04,6825320.96
1955,4265268.43,9183252.34,6655000.0,4100000.0,4075545.33,2725510.03,7274489.97
1956,3811179.35,9492120.12,7320500.0,3800000.0,3711045.33,2276941.11,7723058.89
1957,5000000.0,9718384.9,8052550.0,3500000.0,3382995.33,1867736.71,8132263.29
1958,6188820.65,9869102.92,8857805.0,3200000.0,3087750.33,1538313.7,8461686.3
1959,5734731.57,9957584.25,9743585.5,2900000.0,2822029.83,1324254.98,8675745.02
1960,4265268.43,9997548.86,10717944.05,2600000.0,2582881.38,1250000.0,8750000.0
1961,3811179.35,9997548.86,11789738.46,2300000.0,2367647.78,1324254.98,8675745.02
1962,5000000.0,9957584.25,12968712.3,2000000.0,2173937.53,1538313.7,8461686.3
1963,6188820.65,9869102.92,14265583.53,1700000.0,1999598.31,1867736.71,8132263.29
1964,5734731.57,9718384.9,15692141.88,1400000.0,1842693.01,2276941.11,7723058.89
1965,4265268.43,9492120.12,17261356.07,1100000.0,1701478.24,2725510.03,7274489.97
1966,3811179.35,9183252.34,18987491.68,800000.0,1574384.95,3174679.04,6825320.96
1967,5000000.0,8795142.36,20886240.85,500000.0,1460000.99,3592583.38,6407416.62
1968,6188820.65,8342768.65,22974864.93,200000.0,1357055.42,3957360.12,6042639.88
1969,5734731.57,7850736.84,25272351.42,50000.0,1264404.42,4257879.88,5742120.12
