Business and Finance,Customer Acquisition Cost,$
trend,stable_falling,bimodal_peak,bimodal_valley,bimodal_peak
Year,Aegis Corp,Vanguard Dynamics,NovaTech Solutions,Horizon Enterprises
1985,78.16,178.19,98.97,123.21
1986,81.24,187.29,87.84,135.57
1987,81.94,202.15,78.69,144.58
1988,86.13,212.35,63.99,151.76
1989,87.27,225.43,54.07,161.49
1990,89.16,234.21,44.03,167.87
1991,90.95,239.24,34.49,170.98
1992,95.82,242.11,36.01,174.63
1993,97.5,239.23,36.53,175.03
1994,100.1,237.17,40.56,170.79
1995,102.17,230.21,46.72,166.7
1996,104.96,222.87,55.2,159.31
1997,105.41,213.65,61.26,154.94
1998,110.33,210.08,68.39,149.52
1999,109.97,205.12,71.87,148.62
2000,114.46,204.41,70.15,148.47
2001,114.05,206.74,69.4,149.92
2002,119.65,215.3,63.52,154.65
2003,121.45,221.7,56.18,160.07
2004,123.68,229.47,45.93,164.41
2005,125.38,236.9,42.01,171.81
2006,127.14,240.79,34.38,172.83
2007,130.0,241.68,34.57,174.03
2008,132.98,243.65,38.81,173.57
2009,132.53,234.7,43.37,167.09
2010,138.35,224.08,50.36,160.54
2011,139.7,213.26,68.16,153.05
2012,141.57,201.16,75.6,144.62
2013,145.71,188.01,90.65,134.83
2014,147.21,177.62,98.05,128.2
