Business and Finance,Net Profit Margin,%
trend,bimodal_peak,bimodal_peak,bimodal_valley,volatile_falling,stable_rising
Year,NovaTech Solutions,Starlight Innovations,Ironclad Ventures,Apex Systems,Vanguard Dynamics
1986,26.62,17.21,6.39,16.89,12.19
1987,28.24,18.24,5.29,15.96,12.68
1988,29.93,19.23,4.2,14.79,13.28
1989,31.41,20.17,3.33,13.82,13.96
1990,32.43,20.98,2.6,12.76,14.54
1991,33.26,21.44,2.13,11.69,15.16
1992,33.53,21.69,1.96,10.83,15.67
1993,33.65,21.6,1.79,9.77,16.39
1994,33.5,21.68,1.94,8.93,16.77
1995,33.4,21.47,2.09,7.65,17.5
1996,33.28,21.35,2.09,6.72,18.03
1997,33.18,21.5,2.09,5.79,18.62
1998,33.37,21.25,2.1,4.98,19.37
1999,33.42,21.74,1.99,3.91,20.12
2000,33.65,21.73,1.98,2.69,20.58
2001,33.52,21.54,1.9,1.96,21.04
2002,33.07,21.27,2.2,0.85,21.64
2003,32.41,20.93,2.58,0.17,22.34
2004,31.33,20.3,3.42,0.17,23.03
2005,30.07,19.38,4.27,0.17,23.65
2006,28.2,18.35,5.33,0.17,24.26
2007,26.63,17.22,6.4,0.17,24.88
