Cultural Trends and Influences,Cinema Attendance,tickets
trend,stable_falling,single_peak,stable_rising,stable_rising
Year,The Grand Celestial,Silver Screen Sanctuary,Starlight Studios,Azure Vista Cinema
1979,1176350.95,1486544.37,2531843.16,2961409.4
1980,1233282.24,1540066.61,2666440.3,3067110.13
1981,1256710.59,1569026.12,2799262.21,3241821.97
1982,1318009.56,1631816.63,2889299.55,3343625.81
1983,1341170.54,1711907.74,3020070.67,3463637.53
1984,1387730.38,1810659.91,3165333.29,3582926.43
1985,1395811.7,1952548.67,3284431.51,3714499.31
1986,1450088.95,2080370.28,3441067.68,3851068.69
1987,1467843.21,2222731.76,3582108.6,3969824.43
1988,1495250.6,2329108.46,3661762.42,4121549.06
1989,1547350.65,2424428.91,3793740.64,4247237.17
1990,1585366.64,2512622.29,3915969.58,4425494.94
1991,1621178.89,2527216.98,4052952.85,4540244.75
1992,1652137.51,2461111.41,4192419.51,4626392.44
1993,1710730.66,2402705.36,4325520.5,4758987.27
1994,1731013.78,2331098.3,4406009.47,4905135.77
1995,1761168.02,2204286.51,4570167.49,4953759.04
1996,1815371.09,2075215.54,4695888.41,5127313.46
1997,1845834.64,1934043.94,4825451.55,5280501.67
1998,1867454.79,1809542.31,4955981.25,5425169.73
1999,1892296.02,1711641.65,5054291.91,5504395.73
2000,1938921.79,1631065.22,5199227.44,5635895.44
2001,1960184.71,1551398.88,5303835.87,5781524.05
2002,2003300.58,1507609.94,5489193.73,5905407.78
2003,2020757.1,1493264.01,5569148.04,6019060.38
2004,2084783.85,1482908.21,5719825.69,6152770.19
