Cultural Trends and Influences,Cinema Attendance,tickets
trend,stable_falling,exponential_rising,single_peak,exponential_rising
Year,Zenith Multiplex,Silver Screen Sanctuary,Azure Vista Cinema,Starlight Studios
1963,2112832.56,1375254.04,2645105.43,2133277.33
1964,2178310.12,1536463.5,2677158.81,2268635.65
1965,2231349.76,1715501.4,2763394.16,2488458.95
1966,2257813.33,1880180.67,2799847.24,2710408.31
1967,2369354.54,2048445.13,2905795.26,2962733.64
1968,2390162.46,2275217.7,3029446.36,3234777.83
1969,2480135.53,2504507.34,3212592.45,3555781.74
1970,2539602.32,2755489.36,3389361.17,3867622.27
1971,2562805.99,3024679.16,3599470.49,4277601.62
1972,2677707.8,3318478.26,3809992.89,4650031.24
1973,2749069.06,3652965.14,3976359.58,5086756.85
1974,2784778.41,4009839.37,4150660.27,5562858.83
1975,2877456.22,4430924.3,4200460.65,6092351.33
1976,2887111.85,4868571.85,4228128.34,6683910.74
1977,2966681.52,5370877.59,4254187.29,7324392.41
1978,3050230.71,5896279.22,4121927.34,8071149.98
1979,3068458.03,6471342.6,3979003.52,8832034.09
1980,3168261.04,7157066.58,3794860.65,9647904.62
1981,3225039.97,7868474.95,3570879.3,10601468.3
1982,3273154.65,8631156.55,3380212.59,11637621.7
1983,3359092.77,9479885.15,3244981.8,12762364.35
1984,3427179.89,10450036.29,3071953.23,14048126.57
1985,3490936.17,11497390.61,2896087.58,15427743.44
1986,3557830.03,12645015.94,2806144.73,16933440.99
1987,3611979.28,13905265.79,2719948.27,18593086.94
1988,3673747.88,15315834.17,2643702.83,20434251.79
1989,3718588.11,16842737.08,2653601.46,22442418.05
1990,3817415.63,18515249.84,2600540.89,24689898.95
