Education and Academics,Faculty Satisfaction,%
trend,exponential_rising,single_valley,single_peak,stable_rising
Year,Zenith Institute of Technology,Meridian Academy,Arcane University,Celestial College
1958,68.75,96.21,88.18,79.43
1959,75.87,94.47,89.31,82.94
1960,84.48,92.5,91.03,86.93
1961,91.56,88.59,93.54,90.54
1962,100,84.67,96.89,94.15
1963,100,78.94,100,97.04
1964,100,71.46,100,100
1965,100,63.21,100,100
1966,100,53.67,100,100
1967,100,44.8,100,100
1968,100,37.2,100,100
1969,100,31.34,100,100
1970,100,27.43,100,100
1971,100,25.62,100,100
1972,100,26.2,100,100
1973,100,30.62,100,100
1974,100,36.19,100,100
1975,100,45.18,100,100
1976,100,54.2,100,100
1977,100,63.83,100,100
1978,100,71.04,100,100
1979,100,78.61,100,100
1980,100,84.67,97.26,100
1981,100,89.33,93.67,100
1982,100,93.7,91.0,100
1983,100,95.44,89.37,100
1984,100,97.41,88.14,100
