Education and Academics,Student Enrollment,students
trend,bimodal_valley,single_valley,bimodal_valley,single_valley
Year,Silverhaven Polytechnic,Meridian Academy,Zenith Institute of Technology,Aethelgard School of Arts
1999,4380.63,6576.93,7696.84,13339.99
2000,3618.47,6398.58,6457.21,12908.61
2001,2910.09,6019.79,5208.81,12106.05
2002,2384.84,5616.26,4020.38,11413.95
2003,1926.81,5043.72,3482.17,10255.94
2004,1690.1,4508.03,2900.23,9040.66
2005,1673.25,3819.53,2882.92,7781.59
2006,1653.66,3195.25,2918.33,6500.09
2007,1874.12,2606.34,3090.95,5367.93
2008,2016.48,2162.11,3374.48,4345.03
2009,2145.51,1861.21,3637.12,3735.41
2010,2174.61,1729.55,3777.96,3504.73
2011,2165.66,1874.97,3669.13,3797.95
2012,2030.66,2180.05,3496.06,4327.53
2013,1857.68,2599.3,3264.57,5391.42
2014,1650.0,3259.69,2877.53,6533.36
2015,1639.82,3843.34,2950.48,7643.1
2016,1662.89,4470.54,2862.31,9087.97
2017,1942.86,5047.02,3347.39,10093.72
2018,2342.66,5594.66,3975.4,11304.31
2019,2973.35,5981.65,5195.97,12153.6
2020,3694.38,6364.54,6410.21,12799.46
2021,4432.4,6618.61,7643.0,13181.95
