Energy and Utilities,Electricity Demand,MWh
trend,exponential_falling,bimodal_valley
Year,Silverhaven Hydro Authority,Meridian Energy Network
1988,570968879.42,782620004.59
1989,517911516.2,653003240.12
1990,463459343.54,522735059.25
1991,415561578.05,414414060.59
1992,373369286.57,355761271.43
1993,338600399.65,313544175.06
1994,301982604.51,308930327.37
1995,272820925.7,298288379.69
1996,247741150.04,326505265.37
1997,222136769.34,358763619.68
1998,196183486.73,394390287.01
1999,177187519.49,396635168.26
2000,163367411.65,387401537.95
2001,141874360.28,368687749.39
2002,130191286.74,337008358.07
2003,115860188.51,310017218.36
2004,111138704.8,280851386.11
2005,90380688.73,295856441.38
2006,88345388.39,350498566.62
2007,77887185.67,441839473.96
2008,70881157.03,531263840.78
2009,62775830.74,648155646.99
2010,56907907.52,801958577.64
