Agriculture and Food Production,Livestock Production,tons
trend,stable_rising,volatile_falling,stable_rising
Year,Whispering Willows Estate,Misty Meadow Acres,Riverbend Plantation
1991,61279.53,64954.8,38999.9
1992,64864.97,60092.82,40559.14
1993,67333.91,56587.98,42913.38
1994,71029.69,52957.17,45028.08
1995,73926.45,48210.61,47069.67
1996,77292.55,44281.86,49039.84
1997,79437.06,40839.98,51216.95
1998,83041.32,37304.65,52736.07
1999,86864.25,33243.57,54730.49
2000,89165.3,29407.62,56604.53
2001,92564.96,24647.59,58830.31
2002,95499.35,22152.67,60417.34
2003,98954.25,18589.43,62713.07
2004,101754.24,13824.27,64451.12
2005,104830.3,9515.97,66207.83
2006,107774.08,6001.46,68107.87
2007,111750.62,2287.8,69903.0
2008,113981.56,642.19,72107.23
2009,117112.13,642.19,74506.79
2010,120303.76,642.19,76490.4
