Food and Beverage Industry,Restaurant Sales,$
trend,stable_rising,bimodal_peak,exponential_rising,stable_falling
Year,The Cozy Nook,Crimson Plate,The Golden Spoon,Stellar Bistro
1994,102882152.94,197442008.49,109366574.17,127382418.3
1995,109651688.78,210553012.86,119609719.62,134001420.83
1996,114255261.65,224131356.52,127153282.04,136615511.15
1997,121108864.39,234560485.29,139629166.97,140272876.48
1998,125566339.6,243129814.79,152919391.49,145428321.42
1999,128795975.33,248167887.34,166489768.59,145881611.33
2000,136191145.73,250949156.53,181229241.78,154079493.84
2001,138765948.15,249738787.19,198088006.09,154162197.82
2002,145683548.54,244780765.96,217525205.41,158240924.22
2003,150794100.72,234188694.78,235266884.62,164491020.95
2004,157013130.42,226452788.23,259701881.54,165600485.11
2005,161031081.06,211871122.17,284004451.32,169172676.22
